token,label,label_GPT
BRCA1,O,B
is,O,O
secreted,O,O
and,O,O
exhibits,O,O
properties,O,O
of,O,O
a,O,O
granin,O,B
.,O,O
Germline,O,B
mutations,O,B
in,O,O
BRCA1,O,I
are,O,O
responsible,O,O
for,O,O
most,O,O
cases,O,O
of,O,O
inherited,B,O
breast,I,O
and,I,O
ovarian,I,O
cancer,I,B
.,O,O
However,O,O
",",O,
the,O,O
function,O,O
of,O,O
the,O,O
BRCA1,O,I
protein,O,O
has,O,O
remained,O,O
elusive,O,O
.,O,
We,O,O
now,O,O
show,O,O
that,O,O
BRCA1,O,B
encodes,O,O
a,O,O
190,O,O
-,O,O
kD,O,O
protein,O,O
with,O,O
sequence,O,O
homology,O,O
and,O,O
biochemical,O,O
analogy,O,O
to,O,O
the,O,O
granin,O,B
protein,O,O
family,O,O
.,O,
Interestingly,O,
",",O,
BRCA2,O,B
also,O,O
includes,O,O
a,O,O
motif,O,O
similar,O,O
to,O,O
the,O,O
granin,O,B
consensus,O,I
at,O,O
the,O,O
C,O,O
terminus,O,O
of,O,O
the,O,O
protein,O,O
.,O,O
Both,O,B
BRCA1,O,B
and,O,O
the,O,O
granins,O,B
localize,O,O
to,O,O
secretory,O,O
vesicles,O,I
",",O,O
are,O,O
secreted,O,O
by,O,O
a,O,O
regulated,O,O
pathway,O,I
",",O,O
are,O,O
post,O,O
-,O,O
translationally,O,O
glycosylated,O,I
and,O,O
are,O,O
responsive,O,O
to,O,O
hormones,O,B
.,O,O
As,O,O
a,O,O
regulated,O,O
secretory,O,B
protein,O,O
",",O,O
BRCA1,O,B
appears,O,O
to,O,O
function,O,O
by,O,O
a,O,O
mechanism,O,O
not,O,O
previously,O,O
described,O,O
for,O,O
tumour,B,B
suppressor,O,I
gene,O,O
products,O,I
.,O,
.,O,
Ovarian,B,O
cancer,I,O
risk,O,O
in,O,O
BRCA1,O,B
carriers,O,I
is,O,O
modified,O,O
by,O,O
the,O,O
HRAS1,O,B
variable,O,I
number,O,O
of,O,O
tandem,O,O
repeat,O,O
(,O,
VNTR,O,
),O,
locus,O,I
.,O,O
Women,O,O
who,O,O
carry,O,O
a,O,O
mutation,O,B
in,O,O
the,O,O
BRCA1,O,B
gene,O,I
(,O,
on,O,O
chromosome,O,B
17q21,O,I
),O,O
",",O,
have,O,O
an,O,O
80,O,O
%,O,O
risk,O,O
of,O,O
breast,B,O
cancer,I,I
and,O,O
a,O,O
40,O,O
%,O,O
risk,O,O
of,O,O
ovarian,B,O
cancer,I,I
by,O,O
the,O,O
age,O,O
of,O,O
70,O,B
(,O,O
ref,O,I
.,O,O
1,O,
),O,
.,O,
The,O,O
variable,O,O
penetrance,O,O
of,O,O
BRCA1,O,B
suggests,O,O
that,O,O
other,O,O
genetic,O,O
and,O,O
non,O,O
-,O,O
genetic,O,O
factors,O,O
play,O,O
a,O,O
role,O,O
in,O,O
tumourigenesis,O,O
in,O,O
these,O,O
individuals,O,O
.,O,
The,O,O
HRAS1,O,O
variable,O,O
number,O,O
of,O,O
tandem,O,O
repeats,O,O
(,O,O
VNTR,O,B
),O,O
polymorphism,O,O
",",O,O
located,O,O
1,O,B
kilobase,O,I
(,O,O
kb,O,O
),O,O
downstream,O,O
of,O,O
the,O,O
HRAS1,O,O
proto,O,O
-,O,
oncogene,O,O
(,O,O
chromosome,O,O
11p15,O,B
.,O,
5,O,O
),O,O
is,O,O
one,O,O
possible,O,O
genetic,O,O
modifier,O,O
of,O,O
cancer,B,O
penetrance,O,O
.,O,O
Individuals,O,O
who,O,O
have,O,O
rare,O,O
alleles,O,O
of,O,O
the,O,O
VNTR,O,B
have,O,O
an,O,O
increased,O,O
risk,O,O
of,O,O
certain,O,O
types,O,O
of,O,O
cancers,B,O
",",O,O
including,O,O
breast,B,B
cancer,I,I
(,O,O
2,O,O
-,O,O
4,O,O
),O,
.,O,
To,O,O
investigate,O,O
whether,O,O
the,O,O
presence,O,O
of,O,O
rare,O,O
HRAS1,O,B
alleles,O,I
increases,O,O
susceptibility,O,O
to,O,O
hereditary,B,O
breast,I,B
and,I,O
ovarian,I,B
cancer,I,I
",",O,O
we,O,O
have,O,O
typed,O,O
a,O,O
panel,O,O
of,O,O
307,O,O
female,O,O
BRCA1,O,B
carriers,O,I
at,O,O
this,O,O
locus,O,I
using,O,O
a,O,O
PCR,O,B
-,O,O
based,O,O
technique,O,I
.,O,O
The,O,O
risk,O,O
for,O,O
ovarian,B,B
cancer,I,I
was,O,O
2,O,O
.,O,O
11,O,O
times,O,O
greater,O,O
for,O,O
BRCA1,O,B
carriers,O,I
harbouring,O,O
one,O,O
or,O,O
two,O,O
rare,O,O
HRAS1,O,B
alleles,O,I
",",O,O
compared,O,O
to,O,O
carriers,O,I
with,O,O
only,O,O
common,O,O
alleles,O,I
(,O,O
P,O,O
#ERROR!,O,
0,O,
.,O,
),O,
.,O,
The,O,O
magnitude,O,O
of,O,O
the,O,O
relative,O,O
risk,O,O
associated,O,O
with,O,O
a,O,O
rare,O,O
HRAS1,O,B
allele,O,I
was,O,O
not,O,O
altered,O,O
by,O,O
adjusting,O,O
for,O,O
the,O,O
other,O,O
known,O,O
risk,O,O
factors,O,O
for,O,O
hereditary,B,O
ovarian,I,O
cancer,I,O
(,O,O
5,O,B
),O,O
.,O,O
Susceptibility,O,O
to,O,O
breast,B,O
cancer,I,O
did,O,O
not,O,O
appear,O,O
to,O,O
be,O,O
affected,O,O
by,O,O
the,O,O
presence,O,O
of,O,O
rare,O,O
HRAS1,O,B
alleles,O,I
.,O,O
This,O,O
study,O,O
is,O,O
the,O,O
first,O,O
to,O,O
show,O,O
the,O,O
effect,O,O
of,O,O
a,O,O
modifying,O,O
gene,O,O
on,O,O
the,O,O
penetrance,O,O
of,O,O
an,O,O
inherited,B,O
cancer,I,O
syndrome,I,O
A,O,O
novel,O,O
homeodomain,O,B
-,O,O
encoding,O,O
gene,O,O
is,O,O
associated,O,O
with,O,O
a,O,O
large,O,O
CpG,O,B
island,O,I
interrupted,O,O
by,O,O
the,O,O
myotonic,B,O
dystrophy,I,O
unstable,O,O
(,O,O
CTG,O,B
),O,O
n,O,O
repeat,O,I
.,O,
Myotonic,B,B
dystrophy,I,B
(,O,O
DM,B,I
),O,O
is,O,O
associated,O,O
with,O,O
a,O,O
(,O,O
CTG,O,B
),O,O
n,O,O
trinucleotide,O,O
repeat,O,O
expansion,O,O
in,O,O
the,O,O
3,O,B
-,O,O
untranslated,O,O
region,O,O
of,O,O
a,O,O
protein,O,O
kinase,O,O
-,O,O
encoding,O,O
gene,O,B
",",O,O
DMPK,O,I
",",O,O
which,O,O
maps,O,O
to,O,O
chromosome,O,O
19q13,O,I
.,O,O
3,O,B
Characterisation,O,O
of,O,O
the,O,O
expression,O,O
of,O,O
this,O,O
gene,O,O
in,O,O
patient,O,O
tissues,O,O
has,O,O
thus,O,O
far,O,O
generated,O,O
conflicting,O,O
data,O,O
on,O,O
alterations,O,O
in,O,O
the,O,O
steady,O,O
state,O,O
levels,O,O
of,O,O
DMPK,O,I
mRNA,O,I
",",O,O
and,O,O
on,O,O
the,O,O
final,O,O
DMPK,O,I
protein,O,O
levels,O,O
in,O,O
the,O,O
presence,O,O
of,O,O
the,O,O
expansion,O,O
.,O,O
The,O,O
DM,B,B
region,O,O
of,O,O
chromosome,O,O
19,O,O
is,O,O
gene,O,O
rich,O,
",",O,O
and,O,O
it,O,O
is,O,O
possible,O,O
that,O,O
the,O,O
repeat,O,B
expansion,O,I
may,O,O
lead,O,O
to,O,O
dysfunction,O,O
of,O,O
a,O,O
number,O,O
of,O,O
transcription,O,B
units,O,I
in,O,O
the,O,O
vicinity,O,O
",",O,O
perhaps,O,O
as,O,O
a,O,O
consequence,O,O
of,O,O
chromatin,O,B
disruption,O,I
.,O,O
We,O,O
have,O,O
searched,O,O
for,O,O
genes,O,O
associated,O,O
with,O,O
a,O,O
CpG,O,B
island,O,I
at,O,O
the,O,O
3,O,O
end,O,O
of,O,O
DMPK,O,O
.,O,O
Sequencing,O,O
of,O,O
this,O,O
region,O,O
shows,O,O
that,O,O
the,O,O
island,O,O
extends,O,O
over,O,O
3,O,O
.,O,
5,O,B
kb,O,
and,O,O
is,O,O
interrupted,O,O
by,O,O
the,O,O
(,O,O
CTG,O,B
),O,O
n,O,O
repeat,O,I
.,O,B
Comparison,O,O
of,O,O
genomic,O,O
sequences,O,O
downstream,O,I
(,O,
centromeric,O,
),O,
of,O,
the,O,
repeat,O,
in,O,
human,O,
and,O,
mouse,O,
identified,O,
regions,O,
of,O,
significant,O,
homology,O,
.,O,
These,O,
correspond,O,
to,O,
exons,O,
of,O,
a,O,
gene,O,
predicted,O,
to,O,
encode,O,
a,O,
homeodomain,O,
protein,O,
.,O,
RT,O,
-,O,
PCR,O,
analysis,O,
shows,O,
that,O,
this,O,
gene,O,
",",O,
which,O,
we,O,
have,O,
called,O,
DM,B,
locus,O,
-,O,
associated,O,
homeodomain,O,
protein,O,
(,O,O
DMAHP,O,I
),O,O
",",O,
is,O,O
expressed,O,O
in,O,O
a,O,O
number,O,O
of,O,O
human,O,B
tissues,O,I
",",O,
including,O,O
skeletal,O,B
muscle,O,I
",",O,
heart,O,B
and,O,O
brain,O,B
.,O,O
Germline,O,O
mutations,O,O
in,O,O
the,O,O
RB1,O,B
gene,O,I
in,O,O
patients,O,O
with,O,O
hereditary,B,O
retinoblastoma,I,B
.,O,O
We,O,O
have,O,O
analyzed,O,O
the,O,O
27,O,O
exons,O,O
and,O,O
the,O,O
promoter,O,O
region,O,O
of,O,O
the,O,O
RB1,O,B
gene,O,I
in,O,O
familial,B,O
or,I,O
sporadic,I,O
bilateral,I,O
retinoblastoma,I,B
by,O,O
using,O,O
single,O,O
-,O,O
strand,O,O
conformation,O,O
polymorphism,O,O
analysis,O,O
.,O,O
For,O,O
improvement,O,O
over,O,O
previous,O,O
studies,O,O
",",O,O
a,O,O
new,O,O
set,O,O
of,O,O
primers,O,O
has,O,O
been,O,O
designed,O,O
",",O,O
which,O,O
allow,O,O
for,O,O
amplification,O,O
of,O,O
the,O,O
coding,O,B
and,O,O
splicing,O,B
sequences,O,I
only,O,O
.,O,O
The,O,O
positioning,O,O
of,O,O
the,O,O
polymerase,O,O
chain,O,O
reaction,O,O
(,O,
PCR,O,O
),O,O
primers,O,O
was,O,O
such,O,O
that,O,O
the,O,O
resulting,O,O
PCR,O,B
products,O,I
were,O,O
of,O,O
different,O,O
sizes,O,O
",",O,O
which,O,O
enabled,O,O
us,O,O
to,O,O
analyze,O,O
two,O,O
different,O,O
exons,O,B
simultaneously,O,I
and,O,O
still,O,O
distinguish,O,O
between,O,O
the,O,O
banding,O,B
profiles,O,I
for,O,O
both,O,O
(,O,
biplex,O,B
analysis,O,O
),O,O
.,O,
By,O,O
using,O,O
this,O,O
approach,O,O
",",O,O
we,O,O
were,O,O
able,O,O
to,O,O
identify,O,O
mutation,O,B
in,O,O
22,O,O
new,O,O
patients,O,O
",",O,O
but,O,O
the,O,O
overall,O,O
efficiency,O,O
of,O,O
the,O,O
procedure,O,O
when,O,O
we,O,O
used,O,O
a,O,O
single,O,O
-,O,
pass,O,O
regimen,O,O
was,O,O
only,O,O
48,O,O
%,O,
.,O,
The,O,O
mutations,O,B
were,O,O
small,O,O
insertions,O,B
and,O,O
deletions,O,B
and,O,O
point,O,O
mutations,O,I
in,O,O
roughly,O,O
equal,O,O
proportions,O,I
.,O,O
Type,B,B
II,I,B
human,I,B
complement,I,B
C2,I,B
deficiency,I,I
.,O,O
Allele,O,B
-,O,O
specific,O,O
amino,O,O
acid,O,O
substitutions,O,I
(,O,O
Ser189,O,B
-,O,O
-,O,->
>,O,
Phe,O,B
;,O,O
Gly444,O,B
-,O,O
-,O,->
>,O,
Arg,O,B
),O,O
cause,O,O
impaired,O,O
C2,O,B
secretion,O,I
.,O,O
Type,B,B
II,I,B
complement,I,B
protein,I,B
C2,I,B
deficiency,I,I
is,O,O
characterized,O,O
by,O,O
a,O,O
selective,O,O
block,O,O
in,O,O
C2,O,B
secretion,O,I
.,O,O
The,O,O
Type,O,
II,O,O
C2,O,
allele,O,
(,O,
C2Q0,O,
),O,
is,O,
linked,O,
to,O,
two,O,
major,O,
histocompatibility,O,
haplotypes,O,
(,O,
MHC,O,
),O,
that,O,
differ,O,
from,O,
the,O,
MHC,O,
of,O,
the,O,
more,O,
common,O,
Type,B,
I,I,
C2,I,
deficiency,I,
.,O,
To,O,
determine,O,
the,O,
molecular,O,
basis,O,
of,O,
Type,B,
II,I,
deficiency,I,
the,O,
two,O,
Type,O,
II,O,
C2Q0,O,
genes,O,
were,O,
isolated,O,
and,O,
transfected,O,
separately,O,
into,O,
L,O,
-,O,
cells,O,
.,O,
Subsequent,O,
molecular,O,
biology,O,
",",O,
biosynthetic,O,
",",O,
and,O,
immunofluorescence,O,
studies,O,
demonstrated,O,
that,O,
C2,O,B
secretion,O,O
is,O,O
impaired,O,O
in,O,O
Type,B,O
II,I,O
C2,I,B
deficiency,I,
because,O,O
of,O,O
different,O,O
missense,O,O
mutations,O,B
at,O,O
highly,O,O
conserved,O,O
residues,O,O
in,O,O
each,O,O
of,O,O
the,O,O
C2Q0,O,B
alleles,O,I
.,O,O
One,O,O
is,O,O
in,O,O
exon,O,B
5,O,I
(,O,
nucleotide,O,O
C566,O,O
-,O,O
-,O,
>,O,O
T,O,O
;,O,O
Ser189,O,O
-,O,O
-,O,
>,O,O
Phe,O,O
),O,O
of,O,O
the,O,O
C2Q0,O,B
gene,O,I
linked,O,O
to,O,O
the,O,O
MHC,O,B
haplotype,O,I
A11,O,O
",",O,
B35,O,O
",",O,
DRw1,O,O
",",O,
BFS,O,O
",",O,O
C4A0B1,O,
.,O,
The,O,O
other,O,O
is,O,O
in,O,O
exon,O,B
11,O,O
(,O,O
G1930,O,B
-,O,
-,O,
>,O,O
A,O,I
;,O,O
Gly444,O,B
-,O,
-,O,
>,O,O
Arg,O,I
),O,O
of,O,O
the,O,O
C2Q0,O,B
gene,O,I
linked,O,O
to,O,O
the,O,O
MHC,O,B
haplotype,O,I
A2,O,B
",",O,O
B5,O,B
",",O,O
DRw4,O,B
",",O,O
BFS,O,B
",",O,O
C4A3B1,O,B
.,O,O
Each,O,O
mutant,O,O
C2,O,B
gene,O,I
product,O,O
is,O,O
retained,O,O
early,O,O
in,O,O
the,O,O
secretory,O,O
pathway,O,O
.,O,O
These,O,
mutants,O,
provide,O,
models,O,
for,O,
elucidating,O,
the,O,
C2,O,
secretory,O,
pathway,O,
.,O,
.,O,
Defective,O,O
dimerization,O,O
of,O,O
von,B,O
Willebrand,I,O
factor,O,O
subunits,O,O
due,O,O
to,O,O
a,O,O
Cys,O,B
-,O,
>,O,
Arg,O,I
mutation,O,O
in,O,O
type,B,O
IID,I,B
von,I,O
Willebrand,I,O
disease,I,B
.,O,O
The,O,O
same,O,O
heterozygous,O,O
T,O,O
-,O,O
>,O,O
C,O,O
transition,O,O
at,O,O
nt,O,O
8567,O,O
of,O,O
the,O,O
von,B,O
Willebrand,I,B
factor,O,B
(,O,O
vWF,O,B
),O,O
transcript,O,I
was,O,O
found,O,O
in,O,O
two,O,O
unrelated,O,O
patients,O,O
with,O,O
type,B,O
IID,I,B
von,I,O
Willebrand,I,B
disease,I,I
",",O,O
with,O,O
no,O,O
other,O,O
apparent,O,O
abnormality,O,I
.,O,O
In,O,O
one,O,O
family,O,O
",",O,O
both,O,O
alleles,O,O
were,O,O
normal,O,O
in,O,O
the,O,O
parents,O,O
and,O,O
one,O,O
sister,O,O
;,O,O
thus,O,O
",",O,
the,O,O
mutation,O,O
originated,O,O
de,O,O
novo,O,B
in,O,O
the,O,O
proposita,O,O
.,O,
The,O,O
second,O,O
patient,O,O
also,O,O
had,O,O
asymptomatic,O,B
parents,O,B
who,O,O
",",O,O
however,O,O
",",O,O
were,O,O
not,O,O
available,O,O
for,O,O
study,O,B
.,O,O
The,O,
structural,O,
consequences,O,
of,O,
the,O,
identified,O,
mutation,O,
",",O,
resulting,O,
in,O,
the,O,
CyS2010,O,
-,O,
>,O,
Arg,O,
substitution,O,
",",O,
were,O,
evaluated,O,
by,O,
expression,O,
of,O,
the,O,
vWF,O,
carboxyl,O,
-,O,
terminal,O,
domain,O,
containing,O,
residues,O,
1366,O,
-,O,
2050,O,
.,O,
Insect,O,O
cells,O,O
infected,O,O
with,O,O
recombinant,O,O
baculovirus,O,O
expressing,O,O
normal,O,O
vWF,O,B
sequence,O,I
secreted,O,O
a,O,O
disulfide,O,O
linked,O,O
dimeric,O,O
molecule,O,O
