token,label,label_GPT
BRCA1,O,B
is,O,O
secreted,O,O
and,O,O
exhibits,O,O
properties,O,O
of,O,O
a,O,O
granin,O,B
.,O,I
Germline,O,O
mutations,O,O
in,O,O
BRCA1,O,I
are,O,O
responsible,O,O
for,O,O
most,O,O
cases,O,O
of,O,O
inherited,B,O
breast,I,B
and,I,O
ovarian,I,B
cancer,I,B
.,O,I
However,O,O
",",O,O
the,O,O
function,O,O
of,O,O
the,O,O
BRCA1,O,I
protein,O,O
has,O,O
remained,O,O
elusive,O,O
.,O,O
We,O,O
now,O,O
show,O,O
that,O,O
BRCA1,O,I
encodes,O,O
a,O,O
190,O,O
-,O,O
kD,O,O
protein,O,O
with,O,O
sequence,O,O
homology,O,B
and,O,O
biochemical,O,B
analogy,O,B
to,O,O
the,O,O
granin,O,B
protein,O,B
family,O,B
.,O,
Interestingly,O,
",",O,
BRCA2,O,B
also,O,I
includes,O,O
a,O,O
motif,O,O
similar,O,O
to,O,O
the,O,O
granin,O,B
consensus,O,
at,O,O
the,O,O
C,O,O
terminus,O,O
of,O,O
the,O,O
protein,O,O
.,O,
Both,O,O
BRCA1,O,B
and,O,O
the,O,O
granins,O,I
localize,O,O
to,O,O
secretory,O,I
vesicles,O,O
",",O,O
are,O,O
secreted,O,I
by,O,O
a,O,O
regulated,O,I
pathway,O,O
",",O,O
are,O,O
post,O,O
-,O,O
translationally,O,O
glycosylated,O,I
and,O,O
are,O,O
responsive,O,I
to,O,O
hormones,O,B
.,O,
As,O,O
a,O,O
regulated,O,I
secretory,O,I
protein,O,O
",",O,O
BRCA1,O,B
appears,O,O
to,O,O
function,O,O
by,O,O
a,O,O
mechanism,O,I
not,O,O
previously,O,O
described,O,O
for,O,O
tumour,B,B
suppressor,O,I
gene,O,O
products,O,O
.,O,
.,O,
Ovarian,B,
cancer,I,
risk,O,
in,O,
BRCA1,O,
carriers,O,
is,O,
modified,O,
by,O,
the,O,
HRAS1,O,
variable,O,
number,O,
of,O,
tandem,O,
repeat,O,
(,O,
VNTR,O,
),O,
locus,O,
.,O,
Women,O,
who,O,
carry,O,
a,O,
mutation,O,
in,O,
the,O,
BRCA1,O,B
gene,O,I
(,O,
on,O,O
chromosome,O,B
17q21,O,I
),O,O
",",O,
have,O,
an,O,
80,O,B
%,O,I
risk,O,I
of,O,O
breast,B,B
cancer,I,I
and,O,O
a,O,O
40,O,
%,O,I
risk,O,I
of,O,O
ovarian,B,B
cancer,I,
by,O,O
the,O,O
age,O,B
of,O,O
70,O,I
(,O,I
ref,O,O
.,O,
1,O,
),O,
.,O,
The,O,
variable,O,B
penetrance,O,I
of,O,O
BRCA1,O,B
suggests,O,I
that,O,O
other,O,B
genetic,O,I
and,O,O
non,O,B
-,O,
genetic,O,I
factors,O,
play,O,I
a,O,O
role,O,
in,O,O
tumourigenesis,O,B
in,O,I
these,O,O
individuals,O,O
.,O,
The,O,
HRAS1,O,O
variable,O,B
number,O,O
of,O,
tandem,O,B
repeats,O,I
(,O,
VNTR,O,
),O,
polymorphism,O,I
",",O,
located,O,O
1,O,B
kilobase,O,I
(,O,
kb,O,I
),O,
downstream,O,I
of,O,O
the,O,O
HRAS1,O,O
proto,O,B
-,O,
oncogene,O,I
(,O,
chromosome,O,I
11p15,O,B
.,O,
5,O,I
),O,
is,O,O
one,O,B
possible,O,I
genetic,O,B
modifier,O,I
of,O,O
cancer,B,B
penetrance,O,I
.,O,
Individuals,O,B
who,O,O
have,O,O
rare,O,B
alleles,O,I
of,O,O
the,O,O
VNTR,O,B
have,O,O
an,O,B
increased,O,I
risk,O,B
of,O,O
certain,O,B
types,O,I
of,O,O
cancers,B,B
",",O,
including,O,O
breast,B,B
cancer,I,B
(,O,I
2,O,I
-,O,B
4,O,
),O,
.,O,
To,O,O
investigate,O,O
whether,O,O
the,O,O
presence,O,O
of,O,O
rare,O,O
HRAS1,O,B
alleles,O,B
increases,O,O
susceptibility,O,I-16
to,O,O
hereditary,B,O
breast,I,B
and,I,O
ovarian,I,B
cancer,I,I-48
",",O,
we,O,O
have,O,O
typed,O,O
a,O,O
panel,O,B
of,O,
307,O,O
female,O,B
BRCA1,O,B
carriers,O,B
at,O,O
this,O,O
locus,O,B
using,O,O
a,O,
PCR,O,B
-,O,O
based,O,O
technique,O,B
.,O,O
The,O,O
risk,O,B
for,O,O
ovarian,B,
cancer,I,
was,O,O
2,O,O
.,O,
11,O,O
times,O,O
greater,O,O
for,O,
BRCA1,O,
carriers,O,
harbouring,O,O
one,O,O
or,O,O
two,O,O
rare,O,
HRAS1,O,
alleles,O,
",",O,
compared,O,O
to,O,
carriers,O,
with,O,O
only,O,O
common,O,O
alleles,O,O
(,O,O
P,O,O
#ERROR!,O,O
0,O,O
.,O,O
),O,
.,O,
The,O,
magnitude,O,
of,O,
the,O,
relative,O,
risk,O,
associated,O,
with,O,
a,O,O
rare,O,O
HRAS1,O,B-
allele,O,I-
was,O,O
not,O,O
altered,O,O
by,O,O
adjusting,O,O
for,O,O
the,O,O
other,O,O
known,O,O
risk,O,O
factors,O,O
for,O,
hereditary,B,B-
ovarian,I,I-
cancer,I,I-
(,O,O
5,O,O
),O,O
.,O,
Susceptibility,O,B-
to,O,O
breast,B,I-
cancer,I,
did,O,O
not,O,
appear,O,O
to,O,
be,O,O
affected,O,O
by,O,
the,O,
presence,O,O
of,O,O
rare,O,
HRAS1,O,
alleles,O,I-
.,O,O
This,O,B-
study,O,I-
is,O,O
the,O,
first,O,O
to,O,
show,O,O
the,O,
effect,O,O
of,O,
a,O,O
modifying,O,B-
gene,O,I-
on,O,O
the,O,
penetrance,O,B-
of,O,
an,O,O
inherited,B,O
cancer,I,
syndrome,I,I-
A,O,O
novel,O,O
homeodomain,O,B-
-,O,O
encoding,O,I-
gene,O,
is,O,
associated,O,O
with,O,O
a,O,
large,O,O
CpG,O,B-
island,O,I-
interrupted,O,O
by,O,
the,O,
myotonic,B,B-
dystrophy,I,I-
unstable,O,I-
(,O,O
CTG,O,B-
),O,O
n,O,
repeat,O,
.,O,
Myotonic,B,B
dystrophy,I,
(,O,
DM,B,I
),O,O
is,O,O
associated,O,O
with,O,B
a,O,O
(,O,
CTG,O,
),O,
n,O,O
trinucleotide,O,B
repeat,O,
expansion,O,
in,O,B
the,O,
3,O,
-,O,I
untranslated,O,B
region,O,
of,O,B
a,O,B
protein,O,
kinase,O,
-,O,
encoding,O,
gene,O,
",",O,
DMPK,O,I
",",O,O
which,O,B
maps,O,O
to,O,
chromosome,O,
19q13,O,
.,O,
3,O,
Characterisation,O,B
of,O,O
the,O,B
expression,O,I
of,O,
this,O,
gene,O,
in,O,
patient,O,
tissues,O,
has,O,
thus,O,
far,O,
generated,O,
conflicting,O,
data,O,
on,O,
alterations,O,
in,O,
the,O,
steady,O,
state,O,
levels,O,
of,O,
DMPK,O,
mRNA,O,
",",O,
and,O,
on,O,
the,O,
final,O,
DMPK,O,
protein,O,
levels,O,
in,O,
the,O,
presence,O,
of,O,
the,O,
expansion,O,
.,O,
The,O,
DM,B,B
region,O,O
of,O,O
chromosome,O,O
19,O,B
is,O,O
gene,O,B
rich,O,I
",",O,O
and,O,O
it,O,O
is,O,
possible,O,O
that,O,O
the,O,O
repeat,O,I
expansion,O,I
may,O,O
lead,O,B
to,O,O
dysfunction,O,B
of,O,
a,O,B
number,O,I
of,O,
transcription,O,B
units,O,I
in,O,O
the,O,
vicinity,O,I
",",O,
perhaps,O,O
as,O,O
a,O,
consequence,O,I
of,O,
chromatin,O,B
disruption,O,I
.,O,O
We,O,B
have,O,V
searched,O,V
for,O,O
genes,O,B
associated,O,J
with,O,O
a,O,
CpG,O,I
island,O,B
at,O,O
the,O,
3,O,O
end,O,O
of,O,
DMPK,O,I
.,O,
Sequencing,O,B
of,O,
this,O,O
region,O,
shows,O,V
that,O,
the,O,
island,O,
extends,O,V
over,O,O
3,O,O
.,O,
5,O,
kb,O,I
and,O,
is,O,
interrupted,O,V
by,O,O
the,O,
(,O,O
CTG,O,I
),O,O
n,O,I
repeat,O,
.,O,
Comparison,O,
of,O,
genomic,O,
sequences,O,
downstream,O,
(,O,
centromeric,O,
),O,
of,O,
the,O,
repeat,O,
in,O,
human,O,
and,O,
mouse,O,
identified,O,
regions,O,
of,O,
significant,O,
homology,O,
.,O,
These,O,
correspond,O,
to,O,
exons,O,
of,O,
a,O,
gene,O,
predicted,O,
to,O,
encode,O,
a,O,
homeodomain,O,
protein,O,
.,O,
RT,O,
-,O,
PCR,O,
analysis,O,
shows,O,
that,O,
this,O,
gene,O,
",",O,
which,O,
we,O,
have,O,
called,O,
DM,B,
locus,O,
-,O,
associated,O,
homeodomain,O,
protein,O,
(,O,
DMAHP,O,
),O,
",",O,
is,O,
expressed,O,
in,O,
a,O,
number,O,
of,O,
human,O,
tissues,O,
",",O,
including,O,
skeletal,O,O
muscle,O,
",",O,
heart,O,
and,O,
brain,O,
.,O,
Germline,O,B
mutations,O,I
in,O,B
the,O,O
RB1,O,I
gene,O,B
in,O,B
patients,O,I
with,O,B
hereditary,B,I
retinoblastoma,I,I
.,O,
We,O,B
have,O,I
analyzed,O,I
the,O,B
27,O,I
exons,O,I
and,O,B
the,O,O
promoter,O,B
region,O,I
of,O,B
the,O,O
RB1,O,I
gene,O,B
in,O,B
familial,B,I
or,I,B
sporadic,I,I
bilateral,I,I
retinoblastoma,I,I
by,O,B
using,O,I
single,O,I
-,O,B
strand,O,I
conformation,O,I
polymorphism,O,I
analysis,O,I
.,O,
For,O,B
improvement,O,I
over,O,B
previous,O,I
studies,O,I
",",O,
a,O,B
new,O,I
set,O,I
of,O,B
primers,O,I
has,O,B
been,O,I
designed,O,I
",",O,
which,O,B
allow,O,I
for,O,B
amplification,O,I
of,O,B
the,O,O
coding,O,I
and,O,B
splicing,O,I
sequences,O,I
only,O,I
.,O,
The,O,
positioning,O,
of,O,
the,O,
polymerase,O,
chain,O,
reaction,O,
(,O,
PCR,O,
),O,
primers,O,
was,O,
such,O,
that,O,
the,O,
resulting,O,
PCR,O,
products,O,
were,O,
of,O,
different,O,
sizes,O,
",",O,
which,O,
enabled,O,
us,O,
to,O,
analyze,O,
two,O,
different,O,
exons,O,
simultaneously,O,
and,O,
still,O,
distinguish,O,
between,O,
the,O,
banding,O,
profiles,O,
for,O,
both,O,
(,O,
biplex,O,
analysis,O,
),O,
.,O,
By,O,
using,O,
this,O,
approach,O,
",",O,
we,O,
were,O,
able,O,
to,O,
identify,O,
mutation,O,
in,O,
22,O,
new,O,
patients,O,
",",O,
but,O,
the,O,
overall,O,
efficiency,O,
of,O,
the,O,
procedure,O,
when,O,
we,O,
used,O,
a,O,
single,O,
-,O,
pass,O,
regimen,O,
was,O,
only,O,
48,O,
%,O,
.,O,
The,O,
mutations,O,
were,O,
small,O,
insertions,O,
and,O,
deletions,O,
and,O,
point,O,
mutations,O,
in,O,
roughly,O,
equal,O,
proportions,O,
.,O,
Type,B,
II,I,
human,I,
complement,I,
C2,I,
deficiency,I,
.,O,
Allele,O,
-,O,
specific,O,
amino,O,
acid,O,
substitutions,O,
(,O,
Ser189,O,B
-,O,B
-,O,B
>,O,B
Phe,O,B
;,O,B
Gly444,O,B
-,O,O
-,O,B
>,O,B
Arg,O,B
),O,O
cause,O,O
impaired,O,O
C2,O,
secretion,O,
.,O,
Type,B,
II,I,
complement,I,
protein,I,
C2,I,
deficiency,I,
is,O,
characterized,O,
by,O,
a,O,
selective,O,
block,O,
in,O,
C2,O,
secretion,O,
.,O,
The,O,
Type,O,
II,O,
C2,O,
allele,O,
(,O,
C2Q0,O,
),O,
is,O,
linked,O,
to,O,
two,O,O
major,O,BIO
histocompatibility,O,
haplotypes,O,I
(,O,
MHC,O,
),O,O
that,O,O
differ,O,O
from,O,O
the,O,O
MHC,O,O
of,O,O
the,O,O
more,O,O
common,O,
Type,B,O
I,I,
C2,I,O
deficiency,I,
.,O,O
To,O,O
determine,O,O
the,O,O
molecular,O,BIO
basis,O,I
of,O,O
Type,B,B
II,I,
deficiency,I,
the,O,O
two,O,O
Type,O,B
II,O,
C2Q0,O,
genes,O,
were,O,O
isolated,O,O
and,O,O
transfected,O,O
separately,O,O
into,O,O
L,O,O
-,O,
cells,O,O
.,O,O
Subsequent,O,O
molecular,O,
biology,O,
",",O,
biosynthetic,O,
",",O,
and,O,
immunofluorescence,O,
studies,O,
demonstrated,O,
that,O,
C2,O,
secretion,O,
is,O,
impaired,O,
in,O,
Type,B,
II,I,
C2,I,
deficiency,I,
because,O,
of,O,
different,O,
missense,O,
mutations,O,
at,O,
highly,O,
conserved,O,
residues,O,
in,O,
each,O,
of,O,
the,O,
C2Q0,O,
alleles,O,
.,O,
One,O,
is,O,
in,O,
exon,O,
5,O,
(,O,
nucleotide,O,
C566,O,
-,O,
-,O,
>,O,
T,O,
;,O,
Ser189,O,
-,O,
-,O,
>,O,
Phe,O,
),O,
of,O,
the,O,
C2Q0,O,
gene,O,
linked,O,
to,O,
the,O,
MHC,O,
haplotype,O,
A11,O,
",",O,
B35,O,
",",O,
DRw1,O,
",",O,
BFS,O,
",",O,
C4A0B1,O,
.,O,
The,O,
other,O,
is,O,
in,O,
exon,O,
11,O,
(,O,
G1930,O,
-,O,
-,O,
>,O,
A,O,
;,O,
Gly444,O,
-,O,
-,O,
>,O,
Arg,O,
),O,
of,O,
the,O,
C2Q0,O,
gene,O,
linked,O,
to,O,
the,O,
MHC,O,
haplotype,O,
A2,O,
",",O,
B5,O,
",",O,
DRw4,O,
",",O,
BFS,O,
",",O,
C4A3B1,O,
.,O,
Each,O,
mutant,O,
C2,O,
gene,O,
product,O,
is,O,
retained,O,
early,O,
in,O,
the,O,
secretory,O,
pathway,O,
.,O,
These,O,
mutants,O,
provide,O,
models,O,
for,O,
elucidating,O,
the,O,
C2,O,
secretory,O,
pathway,O,
.,O,
.,O,
Defective,O,
dimerization,O,
of,O,
von,B,
Willebrand,I,
factor,O,
subunits,O,
due,O,
to,O,
a,O,
Cys,O,
-,O,
>,O,
Arg,O,
mutation,O,
in,O,
type,B,
IID,I,
von,I,
Willebrand,I,
disease,I,
.,O,
The,O,
same,O,
heterozygous,O,
T,O,
-,O,
>,O,
C,O,
transition,O,
at,O,
nt,O,
8567,O,B
of,O,B
the,O,I
von,B,O
Willebrand,I,O
factor,O,I
(,O,I
vWF,O,O
),O,
transcript,O,
was,O,
found,O,
in,O,
two,O,
unrelated,O,
patients,O,
with,O,
type,B,
IID,I,
von,I,
Willebrand,I,
disease,I,
",",O,
with,O,
no,O,O
other,O,O
apparent,O,O
abnormality,O,O
.,O,O
In,O,O
one,O,O
family,O,B
",",O,O
both,O,B
alleles,O,I
were,O,
normal,O,I
in,O,
the,O,
parents,O,I
and,O,O
one,O,O
sister,O,I
;,O,O
thus,O,O
",",O,
the,O,O
mutation,O,B
originated,O,O
de,O,O
novo,O,B
in,O,O
the,O,
proposita,O,I
.,O,
The,O,
second,O,
patient,O,
also,O,
had,O,
asymptomatic,O,
parents,O,
who,O,
",",O,
however,O,
",",O,
were,O,
not,O,
available,O,
for,O,
study,O,
.,O,
The,O,
structural,O,
consequences,O,
of,O,
the,O,
identified,O,
mutation,O,
",",O,
resulting,O,
in,O,
the,O,
CyS2010,O,
-,O,
>,O,
Arg,O,
substitution,O,
",",O,
were,O,
evaluated,O,
by,O,
expression,O,
of,O,
the,O,
vWF,O,
carboxyl,O,
-,O,
terminal,O,
domain,O,
containing,O,
residues,O,
1366,O,
-,O,
2050,O,
.,O,
Insect,O,
cells,O,
infected,O,
with,O,
recombinant,O,
baculovirus,O,
expressing,O,
normal,O,
vWF,O,
sequence,O,
secreted,O,
a,O,
disulfide,O,
linked,O,
dimeric,O,
molecule,O,
with,O,
an,O,
apparent,O,
molecular,O,
mass,O,
of,O,
150,O,
kDa,O,
before,O,
reduction,O,
",",O,
yielding,O,
a,O,
single,O,
band,O,
of,O,
80,O,
kDa,O,
after,O,
disulfide,O,
bond,O,
reduction,O,
.,O,
In,O,
contrast,O,
",",O,
cells,O,
expressing,O,
the,O,
mutant,O,
fragment,O,
secreted,O,
a,O,
monomeric,O,
molecule,O,
of,O,
apparent,O,
molecular,O,
mass,O,
of,O,
80,O,
kDa,O,
",",O,
which,O,
remained,O,
unchanged,O,
after,O,
reduction,O,
.,O,
We,O,
conclude,O,
that,O,
CyS2010,O,B
is,O,
essential,O,
for,O,
normal,O,
dimerization,O,
of,O,
vWF,O,I
subunits,O,I
through,O,O
disulfide,O,O
bonding,O,I
of,O,O
carboxyl,O,I
-,O,
terminal,O,
domains,O,
and,O,O
that,O,O
