token,label,label_GPT
BRCA1,O,B
is,O,O
secreted,O,O
and,O,O
exhibits,O,O
properties,O,O
of,O,O
a,O,O
granin,O,I
.,O,O
Germline,O,B
mutations,O,I
in,O,O
BRCA1,O,B
are,O,O
responsible,O,O
for,O,O
most,O,O
cases,O,O
of,O,O
inherited,O,O
breast,B,O
and,I,O
ovarian,I,O
cancer,I,I
.,O,O
However,O,O
",",O,
the,O,O
function,O,O
of,O,O
the,O,O
BRCA1,O,B
protein,O,I
has,O,O
remained,O,O
elusive,O,O
.,O,O
We,O,O
now,O,O
show,O,O
that,O,O
BRCA1,O,B
encodes,O,O
a,O,O
190,O,O
-,O,O
kD,O,O
protein,O,I
with,O,O
sequence,O,O
homology,O,O
and,O,O
biochemical,O,O
analogy,O,O
to,O,O
the,O,O
granin,O,B
protein,O,I
family,O,I
.,O,O
Interestingly,O,
",",O,
BRCA2,O,
also,O,
includes,O,
a,O,
motif,O,
similar,O,
to,O,
the,O,
granin,O,
consensus,O,
at,O,
the,O,
C,O,
terminus,O,
of,O,
the,O,
protein,O,
.,O,
Both,O,
BRCA1,O,
and,O,
the,O,
granins,O,
localize,O,
to,O,
secretory,O,
vesicles,O,
",",O,
are,O,
secreted,O,
by,O,
a,O,
regulated,O,
pathway,O,
",",O,
are,O,
post,O,
-,O,
translationally,O,
glycosylated,O,
and,O,
are,O,
responsive,O,
to,O,
hormones,O,
.,O,
As,O,
a,O,
regulated,O,
secretory,O,
protein,O,
",",O,
BRCA1,O,
appears,O,
to,O,
function,O,
by,O,
a,O,
mechanism,O,
not,O,
previously,O,
described,O,
for,O,
tumour,O,
suppressor,O,
gene,O,
products,O,
.,O,
Ovarian,B,B
cancer,I,O
risk,O,O
in,O,O
BRCA1,O,B
carriers,O,O
is,O,O
modified,O,O
by,O,O
the,O,O
HRAS1,O,B
variable,O,O
number,O,O
of,O,O
tandem,O,O
repeat,O,O
(,O,O
VNTR,O,B
),O,O
locus,O,I
.,O,
Women,O,O
who,O,O
carry,O,O
a,O,O
mutation,O,B
in,O,O
the,O,O
BRCA1,O,B
gene,O,I
(,O,O
on,O,O
chromosome,O,O
17q21,O,O
),O,O
",",O,
have,O,O
an,O,O
80,O,O
%,O,O
risk,O,O
of,O,O
breast,B,O
cancer,I,I
and,O,O
a,O,O
40,O,O
%,O,O
risk,O,O
of,O,O
ovarian,B,O
cancer,I,I
by,O,O
the,O,O
age,O,O
of,O,O
70,O,O
(,O,O
ref,O,O
.,O,
1,O,O
),O,O
.,O,
The,O,O
variable,O,O
penetrance,O,O
of,O,O
BRCA1,O,B
suggests,O,O
that,O,O
other,O,O
genetic,O,O
and,O,O
non,O,O
-,O,O
genetic,O,O
factors,O,O
play,O,O
a,O,O
role,O,O
in,O,O
tumourigenesis,O,O
in,O,O
these,O,O
individuals,O,O
.,O,
The,O,
HRAS1,O,
variable,O,
number,O,
of,O,
tandem,O,
repeats,O,
(,O,
VNTR,O,
),O,
polymorphism,O,
",",O,
located,O,
1,O,
kilobase,O,
(,O,
kb,O,
),O,
downstream,O,
of,O,
the,O,
HRAS1,O,
proto,O,
-,O,
oncogene,O,
(,O,
chromosome,O,
11p15,O,
.,O,
5,O,
),O,
is,O,
one,O,
possible,O,
genetic,O,
modifier,O,
of,O,
cancer,B,
penetrance,I,
.,O,
Individuals,O,
who,O,
have,O,
rare,O,
alleles,O,
of,O,
the,O,
VNTR,O,
have,O,
an,O,
increased,O,
risk,O,
of,O,
certain,O,
types,O,
of,O,
cancers,B,
",",O,
including,O,
breast,B,
cancer,I,
(,O,
2,O,
-,O,
4,O,
),O,
.,O,
To,O,O
investigate,O,O
whether,O,O
the,O,O
presence,O,O
of,O,O
rare,O,O
HRAS1,B,B
alleles,I,I
increases,O,O
susceptibility,O,O
to,O,O
hereditary,B,O
breast,I,O
and,I,O
ovarian,I,O
cancer,I,O
",",O,O
we,O,O
have,O,O
typed,O,O
a,O,O
panel,O,O
of,O,O
307,O,O
female,O,O
BRCA1,B,B
carriers,I,I
at,O,O
this,O,O
locus,O,O
using,O,O
a,O,O
PCR,O,O
-,O,O
based,O,O
technique,O,O
.,O,O
The,O,O
risk,O,O
for,O,O
ovarian,B,O
cancer,I,O
was,O,O
2,O,O
.,O,O
11,O,
times,O,O
greater,O,O
for,O,O
BRCA1,B,B
carriers,I,I
harbouring,O,O
one,O,O
or,O,O
two,O,O
rare,O,O
HRAS1,B,B
alleles,I,I
",",O,
compared,O,O
to,O,O
carriers,O,I
with,O,O
only,O,O
common,O,O
alleles,O,I
(,O,
P,O,O
#ERROR!,O,O
0,O,O
.,O,
15,O,O
),O,O
.,O,O
The,O,O
magnitude,O,O
of,O,O
the,O,O
relative,O,O
risk,O,B
associated,O,I
with,O,O
a,O,O
rare,O,O
HRAS1,O,B
allele,O,I
was,O,O
not,O,O
altered,O,O
by,O,O
adjusting,O,O
for,O,O
the,O,O
other,O,O
known,O,O
risk,O,B
factors,O,I
for,O,O
hereditary,B,O
ovarian,I,B
cancer,I,I
(,O,
5,O,
),O,
.,O,
Susceptibility,O,B
to,O,O
breast,B,B
cancer,I,I
did,O,O
not,O,O
appear,O,O
to,O,O
be,O,O
affected,O,O
by,O,O
the,O,O
presence,O,O
of,O,O
rare,O,O
HRAS1,O,B
alleles,O,I
.,O,
This,O,O
study,O,O
is,O,O
the,O,O
first,O,O
to,O,O
show,O,O
the,O,O
effect,O,O
of,O,O
a,O,O
modifying,O,O
gene,O,B
on,O,O
the,O,O
penetrance,O,O
of,O,O
an,O,O
inherited,O,O
cancer,O,B
syndrome,O,I
A,O,O
novel,O,O
homeodomain,O,B
-,O,O
encoding,O,O
gene,O,B
is,O,O
associated,O,O
with,O,O
a,O,O
large,O,O
CpG,O,O
island,O,O
interrupted,O,O
by,O,O
the,O,O
myotonic,B,B
dystrophy,I,I
unstable,I,O
(,I,
CTG,I,B
),I,
n,I,O
repeat,I,I
.,O,O
Myotonic,B,O
dystrophy,I,B
(,I,O
DM,I,I
),I,O
is,O,O
associated,O,O
with,O,O
a,O,O
(,O,
CTG,O,B
),O,O
n,O,O
trinucleotide,O,O
repeat,O,O
expansion,O,O
in,O,O
the,O,O
3,O,O
-,O,
untranslated,O,O
region,O,O
of,O,O
a,O,O
protein,O,O
kinase,O,O
-,O,
encoding,O,O
gene,O,O
",",O,O
DMPK,O,B
",",O,O
which,O,O
maps,O,O
to,O,O
chromosome,O,O
19q13,O,O
.,O,O
Characterisation,O,O
of,O,O
the,O,O
expression,O,O
of,O,O
this,O,O
gene,O,B
in,O,O
patient,O,O
tissues,O,O
has,O,O
thus,O,O
far,O,O
generated,O,O
conflicting,O,O
data,O,O
on,O,O
alterations,O,O
in,O,O
the,O,O
steady,O,O
state,O,O
levels,O,O
of,O,O
DMPK,B,I
mRNA,I,O
",",O,O
and,O,
on,O,O
the,O,O
final,O,O
DMPK,B,I
protein,I,O
levels,I,O
in,O,O
the,O,O
presence,O,O
of,O,O
the,O,O
expansion,O,O
.,O,O
The,O,O
DM,B,B
region,I,I
of,I,O
chromosome,I,B
19,I,I
is,O,O
gene,O,B
rich,O,I
",",O,O
and,O,O
it,O,O
is,O,O
possible,O,O
that,O,O
the,O,O
repeat,O,B
expansion,O,I
may,O,O
lead,O,O
to,O,O
dysfunction,O,B
of,O,O
a,O,O
number,O,O
of,O,O
transcription,O,B
units,O,I
in,O,O
the,O,O
vicinity,O,B
",",O,
perhaps,O,O
as,O,O
a,O,O
consequence,O,B
of,O,O
chromatin,O,B
disruption,O,I
.,O,O
We,O,O
have,O,O
searched,O,O
for,O,O
genes,O,B
associated,O,I
with,O,O
a,O,O
CpG,O,B
island,O,I
at,O,O
the,O,O
3,O,O
end,O,O
of,O,O
DMPK,O,B
.,O,O
Sequencing,O,B
of,O,O
this,O,O
region,O,B
shows,O,O
that,O,O
the,O,O
island,O,B
extends,O,O
over,O,O
3,O,O
.,O,O
5,O,
kb,O,
and,O,O
is,O,O
interrupted,O,O
by,O,O
the,O,O
(,O,
CTG,O,B
),O,
n,O,I
repeat,O,B
.,O,O
Comparison,O,O
of,O,O
genomic,O,O
sequences,O,O
downstream,O,O
(,O,O
centromeric,O,O
),O,O
of,O,O
the,O,O
repeat,O,O
in,O,O
human,O,O
and,O,O
mouse,O,O
identified,O,O
regions,O,O
of,O,O
significant,O,O
homology,O,O
.,O,O
These,O,O
correspond,O,O
to,O,O
exons,O,O
of,O,O
a,O,O
gene,O,O
predicted,O,O
to,O,O
encode,O,O
a,O,O
homeodomain,O,O
protein,O,O
.,O,O
RT,O,O
-,O,O
PCR,O,O
analysis,O,O
shows,O,O
that,O,O
this,O,O
gene,O,B
",",O,O
which,O,O
we,O,O
have,O,O
called,O,O
DM,O,O
locus,O,O
-,O,
associated,O,O
homeodomain,O,O
protein,O,I
(,O,
DMAHP,O,I
),O,
",",O,O
is,O,O
expressed,O,O
in,O,O
a,O,O
number,O,O
of,O,O
human,O,O
tissues,O,O
",",O,O
including,O,O
skeletal,O,O
muscle,O,I
",",O,O
heart,O,I
and,O,O
brain,O,I
.,O,O
Germline,O,O
mutations,B,
in,I,
the,I,
RB1,I,
gene,I,
in,O,
patients,O,
with,O,
hereditary,B,
retinoblastoma,I,
.,O,
We,O,
have,O,
analyzed,O,
the,O,
27,O,
exons,O,
and,O,
the,O,
promoter,O,
region,O,
of,O,
the,O,
RB1,O,
gene,O,
in,O,
familial,O,
or,O,
sporadic,B,
bilateral,I,
retinoblastoma,I,
by,O,
using,O,
single,O,
-,O,
strand,O,
conformation,O,
polymorphism,O,
analysis,O,
.,O,
For,O,
improvement,O,
over,O,
previous,O,
studies,O,
",",O,
a,O,
new,O,
set,O,
of,O,
primers,O,
has,O,
been,O,
designed,O,
",",O,
which,O,
allow,O,
for,O,
amplification,O,
of,O,
the,O,
coding,O,
and,O,
splicing,O,
sequences,O,
only,O,
.,O,
The,O,O
positioning,O,O
of,O,O
the,O,O
polymerase,O,O
chain,O,O
reaction,O,O
(,O,O
PCR,O,B
),O,O
primers,O,I
was,O,O
such,O,O
that,O,O
the,O,O
resulting,O,O
PCR,O,B
products,O,I
were,O,O
of,O,O
different,O,O
sizes,O,O
",",O,O
which,O,O
enabled,O,O
us,O,O
to,O,O
analyze,O,O
two,O,O
different,O,O
exons,O,B
simultaneously,O,O
and,O,O
still,O,O
distinguish,O,O
between,O,O
the,O,O
banding,O,B
profiles,O,I
for,O,O
both,O,O
(,O,
biplex,O,O
analysis,O,O
),O,
.,O,O
By,O,O
using,O,O
this,O,O
approach,O,O
",",O,O
we,O,O
were,O,O
able,O,O
to,O,O
identify,O,O
mutation,B,B
in,O,O
22,O,O
new,O,O
patients,O,O
",",O,O
but,O,O
the,O,O
overall,O,O
efficiency,O,O
of,O,O
the,O,O
procedure,O,O
when,O,O
we,O,O
used,O,O
a,O,O
single,O,O
-,O,O
pass,O,O
regimen,O,O
was,O,O
only,O,O
48,O,O
%,O,O
.,O,
The,O,O
mutations,O,O
were,O,O
small,O,O
insertions,O,O
and,O,O
deletions,O,O
and,O,O
point,O,O
mutations,O,O
in,O,O
roughly,O,O
equal,O,O
proportions,O,O
.,O,O
Type,O,B
II,O,I
human,O,I
complement,O,I
C2,B,I
deficiency,I,I
.,O,O
Allele,O,B
-,O,
specific,O,I
amino,O,I
acid,O,I
substitutions,O,I
(,O,O
Ser189,O,O
-,O,
-,O,
>,O,O
Phe,O,O
;,O,O
Gly444,O,O
-,O,O
-,O,
>,O,
Arg,O,O
),O,O
cause,O,O
impaired,O,O
C2,B,B
secretion,I,I
.,O,O
Type,O,B
II,O,I
complement,O,I
protein,O,I
C2,B,I
deficiency,I,I
is,O,O
characterized,O,O
by,O,O
a,O,O
selective,O,O
block,O,O
in,O,O
C2,O,B
secretion,O,I
.,O,O
The,O,O
Type,O,O
II,O,B
C2,O,I
null,O,I
allele,O,I
(,O,O
C2Q0,O,I
),O,O
is,O,O
linked,O,O
to,O,O
two,O,O
major,O,O
histocompatibility,O,O
haplotypes,O,O
(,O,O
MHC,O,I
),O,O
that,O,
differ,O,
from,O,
the,O,
MHC,O,
of,O,O
the,O,O
more,O,O
common,O,O
Type,O,B
I,O,I
C2,O,I
deficiency,O,I
.,O,O
To,O,O
determine,O,O
the,O,O
molecular,O,O
basis,O,O
of,O,O
Type,O,B
II,O,I
deficiency,O,I
the,O,O
two,O,O
Type,O,B
II,O,I
C2Q0,O,I
genes,O,O
were,O,O
isolated,O,O
and,O,O
transfected,O,O
separately,O,O
into,O,O
L,O,O
-,O,O
cells,O,O
.,O,O
Subsequent,O,O
molecular,O,O
biology,O,O
",",O,O
biosynthetic,O,O
",",O,O
and,O,O
immunofluorescence,O,O
studies,O,O
demonstrated,O,O
that,O,O
C2,B,O
secretion,O,O
is,O,O
impaired,O,O
in,O,O
Type,O,O
II,O,O
C2,B,O
deficiency,I,O
because,O,O
of,O,O
different,O,O
missense,O,O
mutations,O,O
at,O,O
highly,O,O
conserved,O,O
residues,O,O
in,O,O
each,O,O
of,O,O
the,O,O
C2Q0,O,B
alleles,O,I
.,O,O
One,O,O
is,O,O
in,O,O
exon,O,B
5,O,O
(,O,O
nucleotide,O,B
C566,O,I
-,O,O
-,O,
>,O,
T,O,O
;,O,O
Ser189,O,B
-,O,O
-,O,
>,O,
Phe,O,I
),O,O
of,O,O
the,O,O
C2Q0,O,B
gene,O,I
linked,O,O
to,O,O
the,O,O
MHC,O,B
haplotype,O,I
A11,O,O
",",O,
B35,O,O
",",O,
DRw1,O,O
",",O,
BFS,O,O
",",O,
C4A0B1,O,O
.,O,
The,O,O
other,O,O
is,O,O
in,O,B
exon,O,I
11,O,I
(,O,O
G1930,O,B
-,O,O
-,O,O
>,O,O
A,O,I
;,O,O
Gly444,O,B
-,O,O
-,O,O
>,O,
Arg,O,I
),O,O
of,O,O
the,O,O
C2Q0,O,B
gene,O,I
linked,O,O
to,O,O
the,O,B
MHC,O,I
haplotype,O,O
A2,O,I
",",O,O
B5,O,I
",",O,O
DRw4,O,I
",",O,O
BFS,O,I
",",O,O
C4A3B1,O,I
.,O,O
Each,O,O
mutant,O,O
C2,O,B
gene,O,I
product,O,O
is,O,O
retained,O,O
early,O,O
in,O,O
the,O,O
secretory,O,O
pathway,O,O
.,O,O
These,O,O
mutants,O,O
provide,O,O
models,O,O
for,O,O
elucidating,O,O
C2,O,B
secretory,O,I
pathway,O,I
.,O,O
.,O,
Defective,O,O
dimerization,O,O
of,O,O
von,O,B
Willebrand,B,I
factor,I,I
subunits,O,O
due,O,O
to,O,O
a,O,B
Cys,O,I
-,O,O
>,O,
Arg,O,I
mutation,O,O
in,O,O
type,O,B
IID,O,I
von,O,B
Willebrand,B,I
disease,I,I
.,O,O
The,O,O
same,O,O
heterozygous,O,O
T,O,B
-,O,O
>,O,O
C,O,B
transition,O,I
at,O,O
nt,O,B
8567,O,I
of,O,O
the,O,B
von,O,I
Willebrand,B,I
factor,I,I
(,O,O
vWF,O,I
),O,O
transcript,O,O
was,O,O
found,O,O
in,O,O
two,O,O
unrelated,O,O
patients,O,O
with,O,O
type,O,O
IID,O,B
von,O,I
Willebrand,B,I
disease,I,I
",",O,O
with,O,O
no,O,O
other,O,O
apparent,O,O
abnormality,O,O
.,O,O
In,O,O
one,O,O
family,O,O
",",O,O
both,O,O
alleles,O,O
were,O,O
normal,O,O
in,O,O
the,O,B
parents,O,I
and,O,O
one,O,O
sister,O,O
;,O,
thus,O,O
",",O,
the,O,B
mutation,B,I
originated,O,O
de,O,O
novo,O,O
in,O,O
the,O,B
proposita,O,I
.,O,O
The,O,O
second,O,O
patient,O,O
also,O,O
had,O,O
asymptomatic,O,O
parents,O,O
who,O,O
",",O,O
however,O,O
",",O,O
were,O,O
not,O,O
available,O,O
for,O,O
study,O,O
.,O,O
The,O,O
structural,O,O
consequences,O,O
of,O,O
the,O,O
identified,O,O
mutation,B,O
",",O,O
resulting,O,O
in,O,O
the,O,O
CyS2010,B,B
-,I,O
>,I,O
Arg,O,B
substitution,O,I
",",O,
were,O,O
evaluated,O,O
by,O,O
expression,O,O
of,O,O
the,O,O
vWF,O,B
carboxyl,O,O
-,O,O
terminal,O,O
domain,O,O
containing,O,O
residues,O,O
1366,O,O
-,O,O
2050,O,O
.,O,O
Insect,O,O
cells,O,O
infected,O,O
with,O,O
recombinant,O,O
baculovirus,O,O
expressing,O,O
normal,O,O
vWF,O,B
sequence,O,I
secreted,O,O
a,O,O
disulfide,O,O
linked,O,O
dimeric,O,O
molecule,O,O
with,O,O
an,O,O
apparent,O,O
molecular,O,O
mass,O,O
of,O,O
150,O,O
