token,label,label_GPT
BRCA1,O,B
is,O,O
secreted,O,O
and,O,O
exhibits,O,O
properties,O,O
of,O,O
a,O,O
granin,O,B
.,O,O
Germline,O,B
mutations,O,I
in,O,O
BRCA1,O,B
are,O,O
responsible,O,O
for,O,O
most,O,O
cases,O,O
of,O,O
inherited,B,O
breast,I,B
and,I,O
ovarian,I,B
cancer,I,I
.,O,O
However,O,O
",",O,O
the,O,O
function,O,O
of,O,O
the,O,O
BRCA1,O,B
protein,O,I
has,O,O
remained,O,O
elusive,O,O
.,O,O
We,O,O
now,O,O
show,O,O
that,O,O
BRCA1,O,B
encodes,O,O
a,O,O
190,O,I
-,O,I
kD,O,I
protein,O,I
with,O,O
sequence,O,O
homology,O,O
and,O,O
biochemical,O,O
analogy,O,O
to,O,O
the,O,O
granin,O,B
protein,O,I
family,O,I
.,O,O
Interestingly,O,O
",",O,O
BRCA2,O,I
also,O,O
includes,O,O
a,O,O
motif,O,B
similar,O,O
to,O,O
the,O,O
granin,O,B
consensus,O,I
at,O,O
the,O,O
C,O,O
terminus,O,O
of,O,O
the,O,O
protein,O,I
.,O,O
Both,O,O
BRCA1,O,B
and,O,O
the,O,O
granins,O,B
localize,O,O
to,O,O
secretory,O,B
vesicles,O,I
",",O,O
are,O,O
secreted,O,B
by,O,O
a,O,O
regulated,O,B
pathway,O,I
",",O,O
are,O,O
post,O,
-,O,
translationally,O,B
glycosylated,O,I
and,O,O
are,O,O
responsive,O,B
to,O,O
hormones,O,I
.,O,O
As,O,O
a,O,O
regulated,O,B
secretory,O,B
protein,O,I
",",O,O
BRCA1,O,B
appears,O,O
to,O,O
function,O,O
by,O,O
a,O,O
mechanism,O,O
not,O,O
previously,O,O
described,O,O
for,O,O
tumour,B,B
suppressor,O,I
gene,O,I
products,O,I
.,O,O
.,O,O
Ovarian,B,O
cancer,I,B
risk,O,I
in,O,O
BRCA1,O,B
carriers,O,I
is,O,O
modified,O,O
by,O,O
the,O,O
HRAS1,O,B
variable,O,I
number,O,I
of,O,O
tandem,O,I
repeat,O,I
(,O,
VNTR,O,B
),O,
locus,O,I
.,O,O
Women,O,B
who,O,O
carry,O,B
a,O,O
mutation,O,B
in,O,O
the,O,O
BRCA1,O,B
gene,O,I
(,O,
on,O,O
chromosome,O,B
17q21,O,I
),O,O
",",O,O
have,O,O
an,O,O
80,O,O
%,O,O
risk,O,B
of,O,O
breast,B,B
cancer,I,I
and,O,O
a,O,O
40,O,O
%,O,O
risk,O,B
of,O,O
ovarian,B,B
cancer,I,I
by,O,O
the,O,O
age,O,B
of,O,O
70,O,I
(,O,O
ref,O,B
.,O,I
1,O,
),O,
.,O,
The,O,B
variable,O,I
penetrance,O,I
of,O,O
BRCA1,O,B
suggests,O,O
that,O,O
other,O,O
genetic,O,B
and,O,O
non,O,B
-,O,
genetic,O,I
factors,O,I
play,O,O
a,O,O
role,O,O
in,O,O
tumourigenesis,O,B
in,O,O
these,O,O
individuals,O,B
.,O,
The,O,O
HRAS1,O,B
variable,O,B
number,O,I
of,O,O
tandem,O,B
repeats,O,I
(,O,O
VNTR,O,B
),O,O
polymorphism,O,B
",",O,O
located,O,B
1,O,I
kilobase,O,B
(,O,O
kb,O,
),O,O
downstream,O,B
of,O,O
the,O,O
HRAS1,O,B
proto,O,I
-,O,
oncogene,O,I
(,O,O
chromosome,O,B
11p15,O,B
.,O,
5,O,
),O,O
is,O,O
one,O,O
possible,O,O
genetic,O,B
modifier,O,I
of,O,O
cancer,B,B
penetrance,O,B
.,O,O
Individuals,O,B
who,O,O
have,O,O
rare,O,B
alleles,O,I
of,O,O
the,O,O
VNTR,O,B
have,O,O
an,O,O
increased,O,B
risk,O,I
of,O,O
certain,O,B
types,O,I
of,O,O
cancers,B,B
",",O,O
including,O,B
breast,B,B
cancer,I,B
(,O,B
2,O,O
-,O,
4,O,
),O,
.,O,
To,O,O
investigate,O,O
whether,O,O
the,O,O
presence,O,O
of,O,O
rare,O,O
HRAS1,O,B
alleles,O,I
increases,O,O
susceptibility,O,O
to,O,O
hereditary,B,O
breast,I,O
and,I,O
ovarian,I,O
cancer,I,O
",",O,O
we,O,O
have,O,O
typed,O,O
a,O,O
panel,O,O
of,O,O
307,O,O
female,O,O
BRCA1,O,B
carriers,O,I
at,O,O
this,O,O
locus,O,O
using,O,O
a,O,O
PCR,O,O
-,O,O
based,O,O
technique,O,O
.,O,O
The,O,O
risk,O,O
for,O,O
ovarian,B,O
cancer,I,O
was,O,O
2,O,O
.,O,O
11,O,O
times,O,O
greater,O,O
for,O,O
BRCA1,O,B
carriers,O,I
harbouring,O,O
one,O,O
or,O,O
two,O,O
rare,O,O
HRAS1,O,B
alleles,O,I
",",O,O
compared,O,O
to,O,O
carriers,O,I
with,O,O
only,O,O
common,O,O
alleles,O,I
(,O,O
P,O,O
#ERROR!,O,O
0,O,O
.,O,O
),O,O
.,O,O
The,O,O
magnitude,O,O
of,O,O
the,O,O
relative,O,O
risk,O,B
associated,O,I
with,O,O
a,O,O
rare,O,O
HRAS1,O,B
allele,O,I
was,O,O
not,O,O
altered,O,O
by,O,O
adjusting,O,O
for,O,O
the,O,O
other,O,O
known,O,O
risk,O,B
factors,O,I
for,O,O
hereditary,B,B
ovarian,I,I
cancer,I,I
(,O,
5,O,O
),O,
.,O,
Susceptibility,O,O
to,O,O
breast,B,O
cancer,I,O
did,O,O
not,O,O
appear,O,O
to,O,O
be,O,O
affected,O,O
by,O,O
the,O,O
presence,O,O
of,O,O
rare,O,O
HRAS1,O,B
alleles,O,I
.,O,
This,O,O
study,O,O
is,O,O
the,O,O
first,O,O
to,O,O
show,O,O
the,O,O
effect,O,O
of,O,O
a,O,O
modifying,O,O
gene,O,B
on,O,O
the,O,O
penetrance,O,O
of,O,O
an,O,O
inherited,B,O
cancer,I,O
syndrome,I,O
A,O,O
novel,O,O
homeodomain,O,B
-,O,
encoding,O,
gene,O,I
is,O,O
associated,O,O
with,O,O
a,O,O
large,O,O
CpG,O,B
island,O,I
interrupted,O,O
by,O,O
the,O,O
myotonic,B,B
dystrophy,I,I
unstable,O,I
(,O,B
CTG,O,
),O,
n,O,I
repeat,O,I
.,O,
Myotonic,B,B
dystrophy,I,I
(,O,O
DM,B,B
),O,O
is,O,O
associated,O,O
with,O,O
a,O,O
(,O,O
CTG,O,B
),O,O
n,O,I
trinucleotide,O,I
repeat,O,I
expansion,O,I
in,O,O
the,O,O
3,O,I
-,O,
untranslated,O,I
region,O,I
of,O,O
a,O,O
protein,O,B
kinase,O,
-,O,I
encoding,O,I
gene,O,I
",",O,O
DMPK,O,B
",",O,O
which,O,O
maps,O,O
to,O,O
chromosome,O,B
19q13,O,I
.,O,O
3,O,
Characterisation,O,B
of,O,O
the,O,O
expression,O,B
of,O,O
this,O,O
gene,O,B
in,O,O
patient,O,B
tissues,O,I
has,O,O
thus,O,O
far,O,O
generated,O,O
conflicting,O,O
data,O,O
on,O,O
alterations,O,O
in,O,O
the,O,O
steady,O,O
state,O,O
levels,O,O
of,O,O
DMPK,O,B
mRNA,O,I
",",O,O
and,O,O
on,O,O
the,O,O
final,O,O
DMPK,O,B
protein,O,I
levels,O,I
in,O,O
the,O,O
presence,O,O
of,O,O
the,O,O
expansion,O,O
.,O,
The,O,O
DM,B,B-Disease
region,O,I-Disease
of,O,O
chromosome,O,B-Disease
19,O,I-Disease
is,O,O
gene,O,B-Disease
rich,O,I-Disease
",",O,O
and,O,O
it,O,O
is,O,O
possible,O,O
that,O,O
the,O,O
repeat,O,B-Disease
expansion,O,I-Disease
may,O,O
lead,O,O
to,O,O
dysfunction,O,B-Disease
of,O,I-Disease
a,O,O
number,O,O
of,O,O
transcription,O,B-Disease
units,O,I-Disease
in,O,O
the,O,O
vicinity,O,B-Disease
",",O,O
perhaps,O,O
as,O,O
a,O,O
consequence,O,B-Disease
of,O,I-Disease
chromatin,O,B-Disease
disruption,O,I-Disease
.,O,O
We,O,O
have,O,O
searched,O,O
for,O,O
genes,O,B-Disease
associated,O,I-Disease
with,O,O
a,O,O
CpG,O,B-Disease
island,O,I-Disease
at,O,O
the,O,O
3,O,O
end,O,O
of,O,O
DMPK,O,B-Disease
.,O,O
Sequencing,O,B-Disease
of,O,I-Disease
this,O,O
region,O,B-Disease
shows,O,O
that,O,O
the,O,O
island,O,B-Disease
extends,O,I-Disease
over,O,O
3,O,O
.,O,
5,O,
kb,O,O
and,O,O
is,O,O
interrupted,O,O
by,O,O
the,O,O
(,O,B-Disease
CTG,O,
),O,
n,O,
repeat,O,I-Disease
.,O,O
Comparison,O,O
of,O,O
genomic,O,O
sequences,O,O
downstream,O,O
(,O,O
centromeric,O,B
),O,O
of,O,O
the,O,O
repeat,O,O
in,O,O
human,O,B
and,O,O
mouse,O,B
identified,O,O
regions,O,O
of,O,O
significant,O,O
homology,O,O
.,O,O
These,O,O
correspond,O,O
to,O,O
exons,O,O
of,O,O
a,O,O
gene,O,B
predicted,O,O
to,O,O
encode,O,O
a,O,O
homeodomain,O,I
protein,O,I
.,O,O
RT,O,O
-,O,O
PCR,O,O
analysis,O,O
shows,O,O
that,O,O
this,O,B
gene,O,B
",",O,O
which,O,O
we,O,O
have,O,O
called,O,O
DM,B,B
locus,O,I
-,O,
associated,O,O
homeodomain,O,B
protein,O,I
(,O,O
DMAHP,O,B
),O,O
",",O,
is,O,O
expressed,O,O
in,O,O
a,O,O
number,O,O
of,O,O
human,O,B
tissues,O,O
",",O,O
including,O,O
skeletal,O,B
muscle,O,I
",",O,O
heart,O,B
and,O,O
brain,O,B
.,O,
Germline,O,
mutations,O,
in,O,
the,O,
RB1,O,B
gene,O,I
in,O,O
patients,O,B
with,O,O
hereditary,B,B
retinoblastoma,I,I
.,O,O
We,O,B
have,O,O
analyzed,O,O
the,O,O
27,O,B
exons,O,I
and,O,O
the,O,O
promoter,O,B
region,O,I
of,O,O
the,O,O
RB1,O,B
gene,O,I
in,O,O
familial,B,B
or,I,O
sporadic,I,B
bilateral,I,I
retinoblastoma,I,I
by,O,O
using,O,O
single,O,B
-,O,O
strand,O,B
conformation,O,I
polymorphism,O,I
analysis,O,I
.,O,
For,O,B
improvement,O,O
over,O,O
previous,O,B
studies,O,I
",",O,O
a,O,B
new,O,I
set,O,I
of,O,O
primers,O,B
has,O,O
been,O,O
designed,O,O
",",O,O
which,O,B
allow,O,O
for,O,O
amplification,O,B
of,O,O
the,O,O
coding,O,B
and,O,O
splicing,O,B
sequences,O,I
only,O,O
.,O,
The,O,O
positioning,O,O
of,O,O
the,O,O
polymerase,O,B
chain,O,I
reaction,O,I
(,O,O
PCR,O,B
),O,O
primers,O,B
was,O,O
such,O,O
that,O,O
the,O,O
resulting,O,O
PCR,O,B
products,O,I
were,O,O
of,O,O
different,O,O
sizes,O,O
",",O,O
which,O,O
enabled,O,O
us,O,O
to,O,O
analyze,O,O
two,O,B
different,O,I
exons,O,I
simultaneously,O,O
and,O,O
still,O,O
distinguish,O,O
between,O,O
the,O,O
banding,O,O
profiles,O,O
for,O,O
both,O,B
(,O,O
biplex,O,B
analysis,O,I
),O,O
.,O,
By,O,O
using,O,O
this,O,O
approach,O,O
",",O,O
we,O,O
were,O,O
able,O,O
to,O,O
identify,O,O
mutation,O,O
in,O,O
22,O,I
new,O,I
patients,O,I
",",O,O
but,O,O
the,O,O
overall,O,O
efficiency,O,O
of,O,O
the,O,O
procedure,O,O
when,O,O
we,O,O
used,O,O
a,O,O
single,O,O
-,O,
pass,O,O
regimen,O,O
was,O,O
only,O,O
48,O,B
%,O,I
.,O,
The,O,O
mutations,O,O
were,O,O
small,O,O
insertions,O,O
and,O,O
deletions,O,O
and,O,O
point,O,O
mutations,O,O
in,O,O
roughly,O,O
equal,O,O
proportions,O,O
.,O,O
Type,B,B
II,I,I
human,I,I
complement,I,I
C2,I,I
deficiency,I,I
.,O,O
Allele,O,O
-,O,
specific,O,
amino,O,O
acid,O,O
substitutions,O,O
(,O,O
Ser189,O,O
-,O,O
-,O,B
>,O,I
Phe,O,E
;,O,O
Gly444,O,B
-,O,I
-,O,
>,O,
Arg,O,E
),O,O
cause,O,O
impaired,O,O
C2,O,B
secretion,O,I
.,O,O
Type,B,B
II,I,I
complement,I,I
protein,I,I
C2,I,I
deficiency,I,I
is,O,O
characterized,O,O
by,O,O
a,O,O
selective,O,O
block,O,O
in,O,O
C2,O,B
secretion,O,I
.,O,O
The,O,O
Type,O,B
II,O,I
C2,O,B
allele,O,I
(,O,O
C2Q0,O,B
),O,O
is,O,O
linked,O,O
to,O,O
two,O,O
major,O,O
histocompatibility,O,O
haplotypes,O,O
(,O,
MHC,O,
),O,
that,O,
differ,O,
from,O,
the,O,
MHC,O,B
of,O,O
the,O,O
more,O,O
common,O,O
Type,B,
I,I,I
C2,I,
deficiency,I,O
.,O,O
To,O,O
determine,O,O
the,O,
molecular,O,O
basis,O,O
of,O,
Type,B,
II,I,
deficiency,I,
the,O,
two,O,
Type,O,
II,O,
C2Q0,O,
genes,O,O
were,O,O
isolated,O,O
and,O,O
transfected,O,O
separately,O,O
into,O,O
L,O,O
-,O,O
cells,O,O
.,O,
Subsequent,O,O
molecular,O,O
biology,O,O
",",O,O
biosynthetic,O,O
",",O,O
and,O,O
immunofluorescence,O,O
studies,O,O
demonstrated,O,O
that,O,O
C2,O,B
secretion,O,I
is,O,O
impaired,O,O
in,O,O
Type,B,B
II,I,I
C2,I,B
deficiency,I,I
because,O,O
of,O,O
different,O,O
missense,O,O
mutations,O,O
at,O,O
highly,O,O
conserved,O,O
residues,O,O
in,O,O
each,O,O
of,O,O
the,O,O
C2Q0,O,B
alleles,O,I
.,O,O
One,O,O
is,O,O
in,O,O
exon,O,O
5,O,I
(,O,O
nucleotide,O,O
C566,O,B
-,O,O
-,O,O
>,O,
T,O,I
;,O,O
Ser189,O,B
-,O,O
-,O,O
>,O,
Phe,O,I
),O,
of,O,O
the,O,O
C2Q0,O,B
gene,O,I
linked,O,O
to,O,O
the,O,O
MHC,O,B
haplotype,O,I
A11,O,B
",",O,B
B35,O,I
",",O,
DRw1,O,
",",O,
BFS,O,
",",O,
C4A0B1,O,
.,O,
The,O,
other,O,
is,O,
in,O,
exon,O,
11,O,
(,O,
G1930,O,
-,O,
-,O,
>,O,
A,O,
;,O,
Gly444,O,
-,O,
-,O,
>,O,
Arg,O,
),O,
of,O,
the,O,
C2Q0,O,B
gene,O,I
linked,O,B
to,O,I
the,O,
MHC,O,B
haplotype,O,I
A2,O,I
",",O,
B5,O,I
",",O,
DRw4,O,I
",",O,
BFS,O,I
",",O,
C4A3B1,O,I
.,O,
Each,O,B
mutant,O,B
C2,O,I
gene,O,I
product,O,B
is,O,
retained,O,B
early,O,B
in,O,
the,O,
secretory,O,B
pathway,O,I
.,O,
These,O,B
mutants,O,B
provide,O,B
models,O,B
for,O,
elucidating,O,B
the,O,
C2,O,I
secretory,O,I
pathway,O,I
.,O,
.,O,
Defective,O,B
dimerization,O,B
of,O,
von,B,B
Willebrand,I,
factor,O,B
subunits,O,B
due,O,B
to,O,I
a,O,
Cys,O,I
-,O,
>,O,
Arg,O,I
mutation,O,B
in,O,
type,B,I
IID,I,I
von,I,I
Willebrand,I,
disease,I,I
.,O,
The,O,O
same,O,O
heterozygous,O,O
T,O,B
-,O,I
>,O,I
C,O,I
transition,O,I
at,O,O
nt,O,O
8567,O,B
of,O,O
the,O,B
von,B,I
Willebrand,I,I
factor,O,I
(,O,O
vWF,O,I
),O,O
transcript,O,
was,O,O
found,O,O
in,O,O
two,O,O
unrelated,O,O
patients,O,O
with,O,O
type,B,O
IID,I,B
von,I,I
Willebrand,I,I
disease,I,I
",",O,O
with,O,O
no,O,O
other,O,O
apparent,O,O
abnormality,O,O
.,O,O
In,O,O
one,O,O
family,O,O
",",O,O
both,O,O
alleles,O,O
were,O,O
normal,O,O
in,O,O
the,O,B
parents,O,I
and,O,O
one,O,O
sister,O,O
;,O,O
thus,O,O
",",O,O
the,O,B
mutation,O,I
originated,O,I
de,O,B
novo,O,I
in,O,O
the,O,B
proposita,O,I
.,O,O
The,O,O
second,O,B
patient,O,I
also,O,O
had,O,O
asymptomatic,O,B
parents,O,I
who,O,O
",",O,O
however,O,O
",",O,O
were,O,O
not,O,O
available,O,B
for,O,O
study,O,O
.,O,
The,O,O
structural,O,B
consequences,O,I
of,O,O
the,O,O
identified,O,B
mutation,O,I
",",O,O
resulting,O,B
in,O,O
the,O,O
CyS2010,O,B
-,O,O
>,O,
Arg,O,B
substitution,O,I
",",O,
were,O,O
evaluated,O,B
by,O,O
expression,O,B
of,O,O
the,O,O
