token,label
BRCA1,B
is,O
secreted,O
and,O
exhibits,O
properties,O
of,O
a,O
granin,B
.,O
Germline,O
mutations,O
in,O
BRCA1,B
are,O
responsible,O
for,O
most,O
cases,O
of,O
inherited,O
breast,O
and,O
ovarian,O
cancer,O
.,O
However,O
",",O
the,O
function,O
of,O
the,O
BRCA1,B
protein,O
has,O
remained,O
elusive,O
.,O
We,O
now,O
show,O
that,O
BRCA1,B
encodes,O
a,O
190,O
-,O
kD,O
protein,O
with,O
sequence,O
homology,O
and,O
biochemical,O
analogy,O
to,O
the,O
granin,B
protein,O
family,O
BRCA2,B
includes,O
a,O
motif,O
similar,O
to,O
the,O
granin,B
consensus,O
at,O
the,O
C,O
terminus,O
of,O
the,O
protein,O
.,O
Both,O
BRCA1,B
and,O
the,O
granins,B
localize,O
to,O
secretory,O
vesicles,O
.,O
are,O
secreted,O
by,O
a,O
regulated,O
pathway,O
.,O
are,O
post,O
-,O
translationally,O
glycosylated,O
and,O
are,O
responsive,O
to,O
hormones,O
.,O
As,O
a,O
regulated,O
secretory,O
protein,O
.,O
BRCA1,B
appears,O
to,O
function,O
by,O
a,O
mechanism,O
not,O
previously,O
described,O
for,O
tumour,O
suppressor,O
gene,O
products,O
.,O
Ovarian,B
cancer,B
risk,O
in,O
BRCA1,B
carriers,O
is,O
modified,O
by,O
the,O
HRAS1,B
variable,O
number,O
of,O
tandem,O
repeat,O
locus,O
.,O
Women,O
who,O
carry,O
a,O
mutation,B
in,O
the,O
BRCA1,B
gene,O
on,O
chromosome,O
17q21,O
.,O
have,O
an,O
80,O
%,O
risk,O
of,O
breast,O
cancer,O
and,O
a,O
40,O
%,O
risk,O
of,O
ovarian,O
cancer,O
by,O
the,O
age,O
of,O
70,O
.,O
The,O
variable,O
penetrance,O
of,O
BRCA1,B
suggests,O
that,O
other,O
genetic,O
and,O
non,O
-,O
genetic,O
factors,O
play,O
a,O
role,O
in,O
tumourigenesis,O
in,O
these,O
individuals,O
.,O
HRAS1,O
variable,O
number,O
of,O
tandem,O
repeats,O
,O
VNTR,B
,O
polymorphism,I
",",O
located,O
1,O
kilobase,O
(,O
kb,O
downstream,O
of,O
the,O
HRAS1,O
proto,O
oncogene,O
(,O
chromosome,O
11p15,O
.,O
is,O
one,O
possible,O
genetic,O
modifier,O
of,O
cancer,O
penetrance,O
.,O
Individuals,O
who,O
have,O
rare,O
alleles,O
of,O
the,O
VNTR,O
have,O
an,O
increased,O
risk,O
of,O
certain,O
types,O
of,O
cancers,O
(,O
including,O
breast,O
cancer,O
(,O
2,O
-,O
4,O
To,O
investigate,O
whether,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,I
increases,O
susceptibility,O
to,O
hereditary,O
breast,O
and,O
ovarian,O
cancer,O
",",O
we,O
have,O
typed,O
a,O
panel,O
of,O
307,O
female,O
BRCA1,O
carriers,O
at,O
this,O
locus,O
using,O
a,O
PCR,O
-,O
based,O
technique,O
.,O
The,O
risk,O
for,O
ovarian,O
cancer,O
was,O
2,O
.,O
11,O
times,O
greater,O
for,O
BRCA1,O
carriers,O
harbouring,O
one,O
or,O
two,O
rare,O
HRAS1,I
alleles,I
",",O
compared,O
to,O
carriers,O
with,O
only,O
common,O
alleles,O
(,O
P,O
=,O
0,O
.,O
.,O
The,O
magnitude,O
of,O
the,O
relative,O
risk,O
associated,O
with,O
a,O
rare,O
HRAS1,B
allele,I
was,O
not,O
altered,O
by,O
adjusting,O
for,O
the,O
other,O
known,O
risk,O
factors,O
for,O
hereditary,O
ovarian,O
cancer,O
(,O
5,O
).,O
Susceptibility,O
to,O
breast,O
cancer,O
did,O
not,O
appear,O
to,O
be,O
affected,O
by,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,I
.,O
This,O
study,O
is,O
the,O
first,O
to,O
show,O
the,O
effect,O
of,O
a,O
modifying,O
gene,O
on,O
the,O
penetrance,O
of,O
an,O
inherited,O
cancer,O
syndrome,O
A,O
novel,O
homeodomain,B
-,O
encoding,I
gene,I
is,O
associated,O
with,O
a,O
large,O
CpG,O
island,O
interrupted,O
by,O
the,O
myotonic,O
dystrophy,O
unstable,O
(,O
CTG,O
),O
n,O
repeat,O
Myotonic,B
DM,I
is,O
associated,O
with,O
a,O
CTG,B
n,O
trinucleotide,O
repeat,O
expansion,O
in,O
the,O
3,O
untranslated,O
region,O
of,O
a,O
protein,O
kinase,O
encoding,O
gene,B
DMPK,I
",",O
which,O
maps,O
to,O
chromosome,O
19q13,I
.,O
Characterisation,O
of,O
the,O
expression,O
of,O
this,O
gene,O
in,O
patient,O
tissues,O
has,O
thus,O
far,O
generated,O
conflicting,O
data,O
on,O
alterations,O
in,O
the,O
steady,O
state,O
levels,O
of,O
DMPK,I
mRNA,I
",",O
and,O
on,O
the,O
final,O
DMPK,I
protein,O
levels,O
in,O
the,O
presence,O
of,O
the,O
expansion,O
DM,B
region,O
of,O
chromosome,O
19,O
is,O
gene,O
rich,O
",",O
and,O
it,O
is,O
possible,O
that,O
the,O
repeat,B
expansion,O
may,O
lead,O
to,O
dysfunction,O
of,O
a,O
number,O
of,O
