token,label
BRCA1,B
is,O
secreted,O
and,O
exhibits,O
properties,O
of,O
a,O
granin,B
.,I
Germline,O
mutations,O
in,O
BRCA1,I
are,O
responsible,O
for,O
most,O
cases,O
of,O
inherited,O
breast,B
and,O
ovarian,B
cancer,B
.,I
However,O
.,O
the,O
function,O
of,O
the,O
BRCA1,I
protein,O
has,O
remained,O
elusive,O
.,O
We,O
now,O
show,O
that,O
BRCA1,I
encodes,O
a,O
190,O
-,O
kD,O
protein,O
with,O
sequence,O
homology,B
and,O
biochemical,B
analogy,B
to,O
the,O
granin,B
protein,B
family,B
BRCA2,B
BRCA2,I
includes,O
a,O
motif,O
similar,O
to,O
the,O
granin,B
at,O
the,O
C,O
terminus,O
of,O
the,O
protein,O
Both,O
BRCA1,B
and,O
the,O
granins,I
localize,O
to,O
secretory,I
vesicles,O
",",O
are,O
secreted,I
by,O
a,O
regulated,I
pathway,O
",",O
are,O
post,O
-,O
translationally,O
glycosylated,I
and,O
are,O
responsive,I
to,O
hormones,B
As,O
a,O
regulated,I
secretory,I
protein,O
",",O
BRCA1,B
appears,O
to,O
function,O
by,O
a,O
mechanism,I
not,O
previously,O
described,O
for,O
tumour,B
suppressor,I
gene,O
products,O
BRCA1,B
gene,I
on,O
chromosome,B
17q21,I
,O
breast,B
cancer,I
and,O
a,O
80,B
%,I
risk,I
of,O
breast,B
and,O
a,O
40,B
%,I
risk,I
of,O
ovarian,B
by,O
the,O
age,B
of,O
70,I
ref.,I
1,O
variable,B
penetrance,I
of,O
BRCA1,B
suggests,I
that,O
other,B
genetic,I
and,O
non,B
genetic,I
play,I
a,O
in,O
tumourigenesis,B
in,I
these,O
individuals,O
HRAS1,O
variable,B
number,O
tandem,B
repeats,I
polymorphism,I
located,O
1,B
kilobase,I
kb,I
downstream,I
of,O
the,O
HRAS1,O
proto,B
oncogene,I
chromosome,I
11p15,B
5,I
is,O
one,B
possible,I
genetic,B
modifier,I
of,O
cancer,B
penetrance,I
Individuals,B
who,O
have,O
rare,B
alleles,I
of,O
the,O
VNTR,B
have,O
an,B
increased,I
risk,B
of,O
certain,B
types,I
of,O
cancers,B
including,O
breast,B
cancer,B
2,I
4,I
BRCA1,B
hereditary,O
breast,B
and,O
ovarian,B
cancer,I-48
 ,O
To,O
investigate,O
whether,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,B
increases,O
susceptibility,I-16
to,O
we,O
have,O
typed,O
a,O
panel,B
307,O
female,B
BRCA1,B
carriers,B
at,O
this,O
locus,B
using,O
PCR,B
-,O
based,O
technique,B
 .,O
The,O
risk,B
for,O
was,O
2,O
11,O
times,O
greater,O
harbouring,O
one,O
or,O
two,O
compared,O
with,O
only,O
common,O
(,O
P,O
=,O
0,O
.,O
015,O
HRAS1,O
rare,O
HRAS1,B-
allele,I-
was,O
not,O
altered,O
by,O
adjusting,O
for,O
the,O
other,O
known,O
risk,O
factors,O
hereditary,B-
ovarian,I-
cancer,I-
 ,O
5,O
. ,O
Susceptibility,B-
to,O
breast,I-
did,O
appear,O
be,O
affected,O
presence,O
of,O
alleles,I-
 .,O
This,B-
study,I-
is,O
first,O
show,O
effect,O
a,O
modifying,B-
gene,I-
on,O
penetrance,B-
an,O
inherited,O
syndrome,I-
A,O
novel,O
homeodomain,B-
-,O
encoding,I-
associated,O
with,O
large,O
CpG,B-
island,I-
interrupted,O
myotonic,B-
dystrophy,I-
unstable,I-
(,O
CTG,B-
 ),O
Myotonic,B
DM,I
,O
is,O
a,O
CTG,B
,O
n,O
trinucleotide,B
in,B
3,I
untranslated,B
of,B
a,B
DMPK,I
,O
which,B
,O
Characterisation,B
has,O
conflicting,B
and,I
DM,B
region,O
of,O
chromosome,O
19,B
is,O
gene,B
rich,I
",",O
and,O
it,O
possible,O
that,O
the,O
repeat,I
expansion,I
may,O
lead,B
to,O
dysfunction,B
a,B
number,I
transcription,B
units,I
in,O
vicinity,I
perhaps,O
as,O
consequence,I
chromatin,B
disruption,I
.,O
We,B
have,V
searched,V
for,O
genes,B
associated,J
with,O
CpG,I
island,B
at,O
3,O
end,O
DMPK,I
Sequencing,B
this,O
shows,V
extends,V
over,O
.5,O
kb,I
interrupted,V
by,O
(,O
CTG,I
),O
n,I
skeletal,O
which,O
RB1,B
hereditary,O
retinoblastoma,B
.,O
patients,I
Germline,B
mutations,I
in,B
the,O
RB1,I
gene,B
in,B
patients,I
with,B
hereditary,I
retinoblastoma,I
We,B
have,I
analyzed,I
the,B
27,I
exons,I
and,B
the,O
promoter,B
region,I
of,B
the,O
RB1,I
gene,B
in,B
familial,I
or,B
sporadic,I
bilateral,I
retinoblastoma,I
by,B
using,I
single,I
-,B
strand,I
conformation,I
polymorphism,I
analysis,I
For,B
improvement,I
over,B
previous,I
studies,I
a,B
new,I
set,I
of,B
primers,I
has,B
been,I
designed,I
which,B
allow,I
for,B
amplification,I
of,B
the,O
coding,I
and,B
splicing,I
sequences,I
only,I
The,
positioning,
of,
the,
polymerase,
chain,
reaction,
(,
PCR,
),
primers,
was,
such,
that,
resulting,
products,
were,
different,
sizes,
",",
which,
enabled,
us,
to,
