token,label
BRCA1,B
is,O
secreted,O
and,O
exhibits,O
properties,O
of,O
a,O
granin,I
.,O
Germline,B
mutations,I
in,O
BRCA1,B
are,O
responsible,O
for,O
most,O
cases,O
of,O
inherited,O
breast,O
and,O
ovarian,O
cancer,I
.,O
However,O
the,O
function,O
of,O
the,O
BRCA1,B
protein,I
has,O
remained,O
elusive,O
.,O
We,O
now,O
show,O
that,O
BRCA1,B
encodes,O
a,O
190,O
-,O
kD,O
protein,I
with,O
sequence,O
homology,O
and,O
biochemical,O
analogy,O
to,O
the,O
granin,B
protein,I
family,I
.,O
Example,
Text,
1:,
BRCA1,B
carriers,O
risk,O
in,O
BRCA1,B
carriers,O
is,O
modified,O
by,O
the,O
HRAS1,B
variable,O
number,O
of,O
tandem,O
repeat,O
(,O
VNTR,B
),O
locus,I
Women,O
who,O
carry,O
a,O
mutation,B
in,O
the,O
BRCA1,B
gene,I
(,O
on,O
chromosome,O
17q21,O
,O
have,O
an,O
80,O
,O
risk,O
of,O
breast,O
cancer,I
and,O
a,O
40,O
,O
risk,O
of,O
ovarian,O
cancer,I
by,O
the,O
age,O
of,O
70,O
(,O
ref,O
1,O
),O
The,O
variable,O
penetrance,O
of,O
BRCA1,B
suggests,O
that,O
other,O
genetic,O
and,O
non,O
-,O
genetic,O
factors,O
play,O
a,O
role,O
in,O
tumourigenesis,O
in,O
these,O
individuals,O
To,O
investigate,O
whether,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,I
increases,O
susceptibility,O
to,O
hereditary,O
breast,O
and,O
ovarian,O
cancer,O
",",O
we,O
have,O
typed,O
a,O
panel,O
of,O
307,O
female,O
BRCA1,B
carriers,I
at,O
this,O
locus,O
using,O
a,O
PCR,O
-,O
based,O
technique,O
.,O
The,O
risk,O
for,O
ovarian,O
cancer,O
was,O
2,O
.,O
times,O
greater,O
for,O
BRCA1,B
carriers,I
harbouring,O
one,O
or,O
two,O
rare,O
HRAS1,B
alleles,I
compared,O
to,O
carriers,I
with,O
only,O
common,O
alleles,I
(P,O
=,O
0.,O
15,O
),O
.,O
The,O
magnitude,O
of,O
the,O
relative,O
risk,B
associated,I
with,O
a,O
rare,O
HRAS1,B
allele,I
was,O
not,O
altered,O
by,O
adjusting,O
for,O
the,O
other,O
known,O
risk,B
factors,I
for,O
hereditary,O
ovarian,B
cancer,I
Susceptibility,B
to,O
breast,B
cancer,I
did,O
not,O
appear,O
to,O
be,O
affected,O
by,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,I
This,O
study,O
is,O
the,O
first,O
to,O
show,O
the,O
effect,O
of,O
a,O
modifying,O
gene,B
on,O
the,O
penetrance,O
of,O
an,O
inherited,O
cancer,B
syndrome,I
A,O
novel,O
homeodomain,B
-,O
encoding,O
gene,B
is,O
associated,O
with,O
a,O
large,O
CpG,O
island,O
interrupted,O
by,O
the,O
myotonic,B
dystrophy,I
unstable,O
CTG,B
n,O
repeat,I
.,O
Myotonic,O
dystrophy,B
(,O
DM,I
),O
is,O
associated,O
with,O
a,O
CTG,B
,O
n,O
trinucleotide,O
repeat,O
expansion,O
in,O
the,O
3-,O
untranslated,O
region,O
of,O
a,O
protein,O
kinase-,O
encoding,O
gene,O
,O
DMPK,B
,O
which,O
maps,O
to,O
chromosome,O
19q13.,O
3,O
Characterisation,O
of,O
the,O
expression,O
of,O
this,O
gene,B
in,O
patient,O
tissues,O
has,O
thus,O
far,O
generated,O
conflicting,O
data,O
on,O
alterations,O
in,O
the,O
steady,O
state,O
levels,O
of,O
DMPK,I
mRNA,O
,O
on,O
the,O
final,O
DMPK,I
protein,O
levels,O
in,O
the,O
presence,O
of,O
the,O
expansion,O
.,O
The,O
DM,B
region,I
of,O
chromosome,B
19,I
is,O
gene,B
rich,I
",",O
and,O
it,O
is,O
possible,O
that,O
the,O
repeat,B
expansion,I
may,O
lead,O
to,O
dysfunction,B
of,O
a,O
number,O
of,O
transcription,B
units,I
in,O
the,O
vicinity,B
perhaps,O
as,O
a,O
consequence,B
of,O
chromatin,B
disruption,I
.,O
We,O
have,O
searched,O
for,O
genes,B
associated,I
with,O
a,O
CpG,B
island,I
at,O
the,O
3,O
end,O
of,O
DMPK,B
.,O
Sequencing,B
of,O
this,O
region,B
shows,O
that,O
the,O
island,B
extends,O
over,O
3,O
.,O
and,O
is,O
interrupted,O
by,O
the,O
CTG,B
n,I
repeat,B
.,O
Comparison,O
of,O
genomic,O
sequences,O
downstream,O
(,O
centromeric,O
,O
of,O
the,O
repeat,O
in,O
human,O
and,O
mouse,O
identified,O
regions,O
of,O
significant,O
homology,O
.,O
These,O
correspond,O
to,O
exons,O
of,O
a,O
gene,O
predicted,O
to,O
encode,O
a,O
homeodomain,O
protein,O
.,O
RT,O
-,O
PCR,O
analysis,O
shows,O
that,O
this,O
gene,B
,O
which,O
we,O
have,O
called,O
DM,O
locus-,O
associated,O
homeodomain,O
protein,I
( DMAHP ),I
,O
is,O
expressed,O
in,O
a,O
number,O
of,O
human,O
tissues,O
,O
including,O
skeletal,O
muscle,I
,O
heart,I
and,O
brain,I
.,O
PRimerS,O
the,O
