token,label
BRCA1,B
is,O
secreted,O
and,O
exhibits,O
properties,O
of,O
a,O
granin,I
.,O
Germline,B
mutations,I
in,O
BRCA1,B
are,O
responsible,O
for,O
most,O
cases,O
of,O
inherited,O
breast,O
and,O
ovarian,O
cancer,I
.,O
However,O
the,O
function,O
of,O
the,O
BRCA1,B
protein,I
has,O
remained,O
elusive,O
.,O
We,O
now,O
show,O
that,O
BRCA1,B
encodes,O
a,O
190,O
kD,O
protein,I
with,O
sequence,O
homology,O
and,O
biochemical,O
analogy,O
to,O
the,O
granin,B
protein,I
family,I
.,O
The,O
Interestingly,O
,O
BRCA2,B
also,O
includes,O
a,O
motif,O
similar,O
to,O
the,O
granin,B
consensus,I
at,O
the,O
C,O
terminus,O
of,O
the,O
protein,I
,O
Both,B
BRCA1,B
and,O
the,O
granins,I
localize,O
to,O
secretory,O
vesicles,I
are,O
secreted,O
by,O
a,O
regulated,O
pathway,O
are,O
post-translationally,O
glycosylated,O
and,O
are,O
responsive,O
to,O
hormones,I
,O
As,O
a,O
regulated,O
secretory,O
protein,I
,O
BRCA1,B
appears,O
to,O
function,O
by,O
a,O
mechanism,O
not,O
previously,O
described,O
for,O
tumour,O
suppressor,O
gene,O
products,O
.,O
The,O
Ovarian,B
cancer,I
risk,O
in,O
BRCA1,B
carriers,I
is,O
modified,O
by,O
the,O
HRAS1,B
variable,I
number,I
of,O
tandem,I
repeat,I
(,O
VNTR,B
,O
Women,B
who,O
carry,O
a,O
mutation,O
in,O
the,O
BRCA1,B
gene,I
(,O
on,O
chromosome,O
17q21,B
,O
have,O
an,O
80,O
%,O
risk,O
of,O
breast,O
cancer,I
and,O
a,O
40,O
%,O
risk,O
of,O
ovarian,B
cancer,I
by,O
the,O
age,O
of,O
70,B
(ref,O
1),O
The,O
variable,O
penetrance,O
of,O
BRCA1,B
suggests,O
that,O
other,O
genetic,O
and,O
non-genetic,O
factors,O
play,O
a,O
role,O
in,O
tumourigenesis,O
in,O
these,O
individuals,O
.,O
The,O
HRAS1,B
variable,O
number,O
of,O
tandem,O
repeats,O
(VNTR),B
,O
polymorphism,B
,O
located,O
1,O
kilobase,O
(kb),B
downstream,O
of,O
the,B
HRAS1,I
proto-oncogene,I
(chromosome,B
11p15,I
is,O
one,O
possible,O
genetic,O
modifier,O
of,O
cancer,B
penetrance,I
.,O
Individuals,B
who,O
have,O
rare,O
alleles,O
of,O
the,B
VNTR,I
have,O
an,O
increased,O
risk,B
of,O
certain,O
types,O
of,O
cancers,B
,O
including,O
breast,B
cancer,I
(2-4),B
.,O
The,O
To,O
investigate,O
whether,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,I
increases,O
susceptibility,O
to,O
hereditary,O
breast,O
and,O
ovarian,O
cancer,O
a,O
panel,O
of,O
307,O
female,O
BRCA1,B
carriers,I
at,O
this,O
locus,O
using,O
a,O
PCR,B
-,O
based,O
technique,O
The,O
risk,O
for,O
ovarian,B
cancer,O
was,O
2,O
.,O
times,O
greater,O
for,O
BRCA1,B
carriers,I
harbouring,O
one,O
or,O
two,O
rare,O
HRAS1,B
alleles,I
compared,O
to,O
carriers,I
with,O
only,O
common,O
alleles,I
P,O
=,O
0.,O
15,O
The,O
magnitude,O
of,O
the,O
relative,O
risk,B
associated,I
with,O
a,O
rare,O
HRAS1,B
allele,I
was,O
not,O
altered,O
by,O
adjusting,O
for,O
the,O
other,O
known,O
risk,B
factors,I
for,O
hereditary,B
ovarian,I
cancer,B
(5),O
Susceptibility,B
to,O
breast,B
cancer,B
did,O
not,O
appear,O
to,O
be,O
affected,O
by,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,I
This,O
study,O
is,O
the,O
first,O
to,O
show,O
the,O
effect,O
of,O
a,O
modifying,O
gene,B
on,O
the,O
penetrance,O
of,O
an,O
inherited,B
cancer,B
syndrome,I
A,O
novel,O
homeodomain,O
encoding,O
gene,B
is,O
associated,O
with,O
a,O
large,O
CpG,O
island,O
interrupted,O
by,O
the,O
myotonic,B
dystrophy,I
unstable,O
(CTG),O
n,O
repeat,O
.,O
Myotonic,B
dystrophy,I
(,O
DM,B
,O
is,O
associated,O
with,O
a,O
(,O
CTG,B
,I
n,O
trinucleotide,O
repeat,O
expansion,O
in,O
the,O
3,O
-,O
untranslated,O
region,O
of,O
protein,O
kinase,O
encoding,O
gene,O
",",O
DMPK,B
,I
which,O
maps,O
to,O
chromosome,O
19q13.,O
3.,O
Characterisation,B
expression,O
this,O
patient,O
tissues,O
has,O
thus,O
far,O
generated,O
conflicting,O
data,O
on,O
alterations,O
steady,O
state,O
levels,O
mRNA,I
and,O
final,O
presence,O
.,O
The,O
DM,B
region,I
of,O
chromosome,B
19,I
is,O
gene,B
rich,I
",",O
and,O
it,O
is,O
possible,O
that,O
the,O
repeat,B
expansion,I
may,O
lead,O
to,O
dysfunction,O
of,O
a,O
number,O
of,O
transcription,O
units,O
in,O
the,O
vicinity,O
perhaps,O
as,O
a,O
consequence,O
of,O
chromatin,B
disruption,I
.,O
We,O
have,O
searched,O
for,O
genes,O
associated,O
with,O
a,O
CpG,B
island,I
