token,label
BRCA1,B
is,O
secreted,O
and,O
exhibits,O
properties,O
of,O
a,O
granin,B
.,O
Germline,B
mutations,I
in,O
BRCA1,B
are,O
responsible,O
for,O
most,O
cases,O
of,O
inherited,O
breast,B
and,O
ovarian,B
cancer,I
.,O
However,O
,O
the,O
function,O
of,O
the,O
BRCA1,B
protein,I
has,O
remained,O
elusive,O
.,O
We,O
now,O
show,O
that,O
BRCA1,B
encodes,O
a,O
190,I
-,I
kD,I
protein,I
with,O
sequence,O
homology,O
and,O
biochemical,O
analogy,O
to,O
the,O
granin,B
protein,I
family,I
.,O
BRCA2,B
Interestingly,O
,O
,O
,O
,O
,O
,O
BRCA2,I
also,O
includes,O
a,O
motif,B
similar,O
to,O
the,O
granin,B
consensus,I
at,O
the,O
C,O
terminus,O
of,O
the,O
protein,I
.,O
Both,O
BRCA1,B
and,O
the,O
granins,B
localize,O
to,O
secretory,B
vesicles,I
,O
are,O
secreted,B
by,O
a,O
regulated,B
pathway,I
,O
are,O
post-translationally,B
glycosylated,I
and,O
are,O
responsive,B
to,O
hormones,I
.,O
As,O
a,O
regulated,B
secretory,B
protein,I
,O
BRCA1,B
appears,O
to,O
function,O
by,O
a,O
mechanism,O
not,O
previously,O
described,O
for,O
tumour,B
suppressor,I
gene,I
products,I
.,O
.,O
Ovarian,O
cancer,B
risk,I
in,O
BRCA1,B
carriers,I
is,O
modified,O
by,O
the,O
HRAS1,B
variable,I
number,I
of,O
tandem,I
repeat,I
( VNTR ),B
locus,I
.,O
Women,B
who,O
carry,B
a,O
mutation,B
in,O
the,O
BRCA1,B
gene,I
( on,O
chromosome,B
17q21,I
 ),O
",",O
have,O
an,O
80,O
%,O
risk,B
of,O
breast,B
cancer,I
and,O
a,O
40,O
%,O
risk,B
of,O
ovarian,B
cancer,I
by,O
the,O
age,B
of,O
70,I
( ref,O
1,B
 ).,I
The,B
variable,I
penetrance,I
of,O
BRCA1,B
suggests,O
that,O
other,O
genetic,B
and,O
non-,B
genetic,I
factors,I
play,O
a,O
role,O
in,O
tumourigenesis,B
in,O
these,O
individuals,B
.,O
HRAS1,B
,O
variable,B
number,I
of,O
tandem,B
repeats,I
( ,O
VNTR,B
 ,O
polymorphism,B
,O
located,B
1,I
kilobase,B
(,O
11p15,B
,O
downstream,B
of,O
the,O
HRAS1,B
proto-,I
oncogene,I
(,O
chromosome,B
11p15,B
,O
is,O
one,O
possible,O
genetic,B
modifier,I
of,O
cancer,B
penetrance,B
.,O
Individuals,B
who,O
have,O
rare,B
alleles,I
of,O
the,O
VNTR,B
have,O
an,O
increased,B
risk,I
of,O
certain,B
types,I
of,O
cancers,B
,O
including,B
breast,B
cancer,B
( 2-4 ),B
.,O
To,O
Investigate,O
whether,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,I
increases,O
susceptibility,O
to,O
hereditary,O
breast,O
and,O
ovarian,O
cancer,O
,O
we,O
have,O
typed,O
a,O
panel,O
of,O
307,O
female,O
BRCA1,B
carriers,I
at,O
this,O
locus,O
using,O
a,O
PCR,O
-,O
based,O
technique,O
.,O
The,O
risk,O
for,O
ovarian,O
cancer,O
was,O
2,O
.,O
1,O
times,O
greater,O
for,O
BRCA1,B
carriers,I
harbouring,O
one,O
or,O
two,O
rare,O
HRAS1,B
alleles,I
",",O
compared,O
to,O
carriers,I
with,O
only,O
common,O
alleles,I
,O
P,O
=,O
0.,O
015,O
.,O
 .,O
The,O
risk,O
for,O
ovarian,O
cancer,O
was,O
2,O
.,O
11,O
times,O
greater,O
for,O
BRCA1,B
carriers,I
harbouring,O
no,O
or,O
few,O
rare,O
HRAS1,B
alleles,I
.,O
The,O
magnitude,O
of,O
the,O
relative,O
risk,B
associated,I
with,O
a,O
rare,O
HRAS1,B
allele,I
was,O
not,O
altered,O
by,O
adjusting,O
for,O
the,O
other,O
known,O
risk,B
factors,I
for,O
hereditary,B
ovarian,I
cancer,I
(5),O
Susceptibility,O
to,O
breast,O
cancer,O
did,O
not,O
appear,O
to,O
be,O
affected,O
by,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,I
This,O
study,O
is,O
the,O
first,O
to,O
show,O
the,O
effect,O
of,O
a,O
modifying,O
gene,B
on,O
the,O
penetrance,O
of,O
an,O
inherited,O
cancer,O
syndrome,O
A,O
novel,O
homeodomain-encoding,B
gene,I
is,O
associated,O
with,O
a,O
large,O
CpG,B
island,I
interrupted,O
by,O
the,O
myotonic,B
dystrophy,I
unstable,I
(CTG),B
n,I
repeat,I
Myotonic,B
dystrophy,I
( ,O
DM,B
,O
is,O
associated,O
with,O
a,O
( ,O
CTG,B
,O
n,I
trinucleotide,I
repeat,I
expansion,I
in,O
the,O
3-,I
untranslated,I
region,I
of,O
a,O
protein,B
kinase-,I
encoding,I
gene,I
,O
DMPK,B
,O
which,O
maps,O
to,O
chromosome,B
19q13,I
.,O
Characterisation,B
of,O
the,O
expression,B
of,O
this,O
gene,B
in,O
patient,B
tissues,I
has,O
thus,O
far,O
generated,O
conflicting,O
data,O
on,O
alterations,O
in,O
the,O
steady,O
state,O
levels,O
of,O
DMPK,B
